time_imf,b_imf,b_imf_x,b_imf_y,b_imf_z,rho,ps,p_dyn,sym_h,tp,v_sw,ca
2015-09-02 16:47:30,3.9169106,-1.749,3.45,0.617,3.314714981613159e-26,0.305502214892114,5.045054804834037,5.6,17547.5,390.0605,79.86038177591914,
2015-09-02 16:47:30,3.9169106,-1.749,3.45,0.617,3.314714981613159e-26,0.305502214892114,5.045054804834037,5.6,17547.5,390.0605,79.86038177591914,
2015-09-02 17:05:30,4.45481,-3.486,2.079,-1.8359998,3.415854082641601e-26,0.3050461985587272,5.156320575662027,8.0,17779.5,388.4565,131.448260992081,
2015-09-03 17:14:30,7.413509,3.1420002,4.972,4.5129995,2.2225645229339597e-26,0.29799886296302747,3.8993565750110393,4.2,57892.3,418.78525,47.77051039470385,
2015-09-07 13:51:30,9.468134,-1.54,-9.3125,-0.7425,1.1575255963325499e-26,0.22517682150765778,3.252958724150005,-19.7,226168.0,530.02466,265.44136531891525,
2015-09-07 13:58:30,5.9096904,-2.609,-3.7549999,-3.744,9.700526146697996e-27,0.22873556900164033,2.844316182529463,-21.7,250516.88,541.3939,225.08403830592516,
2015-09-07 14:12:30,12.974006,-4.0030003,10.638999,-6.254,8.1853595413208e-27,0.23550503668696496,2.5315015477682254,-28.0,181259.6,556.0224,120.44859650361232,
2015-09-07 17:08:30,9.255769,0.20700002,9.239,0.51700014,1.4118158486557004e-26,0.2724680450884657,5.061856220716311,-35.1,235588.0,598.67065,86.79715604792993,
2015-09-09 13:52:30,7.7925606,-1.506,-2.854,-7.093,1.6982169174575803e-26,0.2130186651177371,2.814075780177518,-81.0,35479.7,406.99905,201.91830426404636,
2015-09-09 14:09:30,7.9270887,-1.61,-2.834,-7.2260003,1.7455178532028196e-26,0.2213783745358555,2.939695217666056,-83.8,31804.6,410.30905,201.41485102032473,
2015-09-09 18:55:30,8.912787,-2.8270001,-0.44199997,-8.441,1.9529880641555785e-26,0.2334722185205376,3.393873136329701,-75.3,30055.2,416.7927,182.99746448943878,
2015-09-11 08:12:30,16.11731,-3.9299996,-1.129,-15.590001,1.5657359725189207e-26,-0.024839580642703432,4.699659390423529,-46.0,318268.2,547.7672,184.1420266094145,
2015-09-11 09:47:30,10.637973,-6.7055554,7.792222,2.7355556,2.3765809173583982e-26,0.0361153037607533,8.0038639427204,-62.9,385427.3,580.2239,70.65574564284316,
2015-09-11 11:52:30,6.8260236,-2.823,2.3899999,-5.7370005,1.0014582722091674e-26,0.1258852441773504,3.968236995720019,-51.8,299696.5,629.36774,157.38367772353502,
2015-09-11 15:09:30,5.6187634,-3.784,0.62000006,4.107,1.2548192844009398e-26,0.23192357705172473,4.882060374878743,-86.6,297549.8,623.63873,8.584651324377464,
2015-09-11 16:18:30,2.8839886,-1.78625,1.26,-1.88125,1.2762584633255004e-26,0.24564395275773557,5.284759891658522,-69.2,271028.25,643.37683,146.1871125416732,
2015-09-13 11:14:30,4.7217984,2.627,2.4780002,-3.0420003,1.1586792844009397e-26,0.08616111307236084,2.562426271528203,-27.0,52247.5,470.1822,140.83388347778398,
2015-09-13 15:04:30,5.6944675,3.229,0.732,-4.6330004,1.116377816429138e-26,0.21730459197515362,2.3827075661640125,-31.6,37478.8,461.90414,171.02165304308286,
2015-09-14 10:02:30,9.140738,-2.9309998,8.202,-2.773,1.754170284500122e-26,0.027750697725991782,3.647335865165162,-10.1,92343.7,455.90472,108.67979124289766,
2015-09-14 15:44:30,5.4608183,-5.339,-0.44300002,-1.058,1.1429977268409728e-26,0.22097001565315033,2.3857534248826107,-44.6,178967.89,456.78537,202.719772321634,
