mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,walen,jet_detection
3,2015-09-02 13:34:04,2015-09-02 13:44:04,3.19,9.5,-5.42,7.409999847412109,16.350000381469727,27.8799991607666,6.447,shear, False, True                              
3,2015-09-02 13:34:04,2015-09-02 13:44:04,3.19,9.5,-5.42,7.409999847412109,16.350000381469727,27.8799991607666,6.573,rx_en, False, True                              
3,2015-09-02 13:34:04,2015-09-02 13:44:04,3.19,9.5,-5.42,7.409999847412109,16.350000381469727,27.8799991607666,13.050,va_cs, False, True                              
3,2015-09-02 13:34:04,2015-09-02 13:44:04,3.19,9.5,-5.42,7.409999847412109,16.350000381469727,27.8799991607666,3.311,bisection, False, True                              
3,2015-09-02 13:34:04,2015-09-02 13:44:04,3.19,9.5,-5.42,7.409999847412109,16.350000381469727,27.8799991607666,6.447,shear, False, True                              
3,2015-09-02 13:34:04,2015-09-02 13:44:04,3.19,9.5,-5.42,7.409999847412109,16.350000381469727,27.8799991607666,6.573,rx_en, False, True                              
3,2015-09-02 13:34:04,2015-09-02 13:44:04,3.19,9.5,-5.42,7.409999847412109,16.350000381469727,27.8799991607666,13.050,va_cs, False, True                              
3,2015-09-02 13:34:04,2015-09-02 13:44:04,3.19,9.5,-5.42,7.409999847412109,16.350000381469727,27.8799991607666,3.311,bisection, False, True                              
3,2015-09-02 13:40:34,2015-09-02 13:50:34,3.14,9.56,-5.42,5.659999847412109,19.780000686645508,31.84000015258789,6.580,shear, True, False                              
3,2015-09-02 13:40:34,2015-09-02 13:50:34,3.14,9.56,-5.42,5.659999847412109,19.780000686645508,31.84000015258789,7.072,rx_en, True, False                              
3,2015-09-02 13:40:34,2015-09-02 13:50:34,3.14,9.56,-5.42,5.659999847412109,19.780000686645508,31.84000015258789,13.244,va_cs, True, False                              
3,2015-09-02 13:40:34,2015-09-02 13:50:34,3.14,9.56,-5.42,5.659999847412109,19.780000686645508,31.84000015258789,4.323,bisection, True, False                              
3,2015-09-02 15:31:14,2015-09-02 15:41:14,2.25,10.46,-5.17,8.979999542236328,13.0600004196167,31.299999237060547,9.890,shear, False, True                              
