mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,walen1,walen2,jet_detection,r_W,theta_W,np_median_msp,np_median_msh,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn,Date,Probe,x_gsm,y_gsm,z_gsm,r_spc,theta_w,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
3,2015-09-02 16:40:08,2015-09-02 16:50:08,1.65,10.85,-4.78,4.940000057220459,12.180000305175781,25.559999465942383,12.181,shear,False,False,True,2.285,34.224,4.286,38.373,-1.559999942779541,3.4800000190734863,0.9800000190734863,17.503,74.327,4.91,2015-09-02 16:41:24.189000+00:00,3,1.68,10.831,-4.803,11.848,34.224,407,439,3087,3119,1496,24.016,3.298,-1.018,28.416,3.418,-1.106,28.448,6.734,-13.629,27.972,6.734,-13.629,27.972,4.286,4.269,38.373,37.895,63.766,90.975,16.289,63.485,90.819,16.955,2.076,-303.346,-164.143,2.515,-303.471,-164.787,19652722.0,2579090.75,19664522.0,2591679.0,21195928.0,2512695.0,21182176.0,2563107.5,3.182,3.647,
3,2015-09-02 16:40:08,2015-09-02 16:50:08,1.65,10.85,-4.78,4.940000057220459,12.180000305175781,25.559999465942383,11.09,rx_en,False,False,True,2.285,34.224,4.286,38.373,-1.559999942779541,3.4800000190734863,0.9800000190734863,17.503,74.327,4.91,2015-09-02 16:41:24.189000+00:00,3,1.68,10.831,-4.803,11.848,34.224,407,439,3087,3119,1496,24.016,3.298,-1.018,28.416,3.418,-1.106,28.448,6.734,-13.629,27.972,6.734,-13.629,27.972,4.286,4.269,38.373,37.895,63.766,90.975,16.289,63.485,90.819,16.955,2.076,-303.346,-164.143,2.515,-303.471,-164.787,19652722.0,2579090.75,19664522.0,2591679.0,21195928.0,2512695.0,21182176.0,2563107.5,3.182,3.647,
3,2015-09-02 16:40:08,2015-09-02 16:50:08,1.65,10.85,-4.78,4.940000057220459,12.180000305175781,25.559999465942383,12.681,va_cs,False,False,True,2.285,34.224,4.286,38.373,-1.559999942779541,3.4800000190734863,0.9800000190734863,17.503,74.327,4.91,2015-09-02 16:41:24.189000+00:00,3,1.68,10.831,-4.803,11.848,34.224,407,439,3087,3119,1496,24.016,3.298,-1.018,28.416,3.418,-1.106,28.448,6.734,-13.629,27.972,6.734,-13.629,27.972,4.286,4.269,38.373,37.895,63.766,90.975,16.289,63.485,90.819,16.955,2.076,-303.346,-164.143,2.515,-303.471,-164.787,19652722.0,2579090.75,19664522.0,2591679.0,21195928.0,2512695.0,21182176.0,2563107.5,3.182,3.647,
3,2015-09-02 16:40:08,2015-09-02 16:50:08,1.65,10.85,-4.78,4.940000057220459,12.180000305175781,25.559999465942383,10.654,bisection,False,False,True,2.285,34.224,4.286,38.373,-1.559999942779541,3.4800000190734863,0.9800000190734863,17.503,74.327,4.91,2015-09-02 16:41:24.189000+00:00,3,1.68,10.831,-4.803,11.848,34.224,407,439,3087,3119,1496,24.016,3.298,-1.018,28.416,3.418,-1.106,28.448,6.734,-13.629,27.972,6.734,-13.629,27.972,4.286,4.269,38.373,37.895,63.766,90.975,16.289,63.485,90.819,16.955,2.076,-303.346,-164.143,2.515,-303.471,-164.787,19652722.0,2579090.75,19664522.0,2591679.0,21195928.0,2512695.0,21182176.0,2563107.5,3.182,3.647,
3,2015-09-02 17:00:03,2015-09-02 17:10:03,1.47,10.93,-4.64,-0.4399999976158142,16.149999618530273,32.84000015258789,6.77,shear,False,False,True,1.302,37.646,3.255,29.12,-3.4600000381469727,1.7599999904632568,-1.9800000190734863,17.478,138.214,5.2,2015-09-02 17:07:04.109000+00:00,3,1.45,10.935,-4.63,11.875,37.646,429,461,7269,7301,3193,49.661,2.319,10.591,38.246,2.524,10.983,38.329,3.428,-20.56,30.704,3.428,-20.56,30.704,3.255,3.309,29.12,29.459,36.072,-110.383,-25.727,37.516,-109.794,-25.672,20.485,-231.531,-86.493,19.674,-229.332,-89.559,23948272.0,2450723.75,23656716.0,2530082.75,29775006.0,2835538.75,29664688.0,2798683.75,1.87,1.864,
3,2015-09-02 17:00:03,2015-09-02 17:10:03,1.47,10.93,-4.64,-0.4399999976158142,16.149999618530273,32.84000015258789,6.047,rx_en,False,False,True,1.302,37.646,3.255,29.12,-3.4600000381469727,1.7599999904632568,-1.9800000190734863,17.478,138.214,5.2,2015-09-02 17:07:04.109000+00:00,3,1.45,10.935,-4.63,11.875,37.646,429,461,7269,7301,3193,49.661,2.319,10.591,38.246,2.524,10.983,38.329,3.428,-20.56,30.704,3.428,-20.56,30.704,3.255,3.309,29.12,29.459,36.072,-110.383,-25.727,37.516,-109.794,-25.672,20.485,-231.531,-86.493,19.674,-229.332,-89.559,23948272.0,2450723.75,23656716.0,2530082.75,29775006.0,2835538.75,29664688.0,2798683.75,1.87,1.864,
3,2015-09-02 17:00:03,2015-09-02 17:10:03,1.47,10.93,-4.64,-0.4399999976158142,16.149999618530273,32.84000015258789,11.477,va_cs,False,False,True,1.302,37.646,3.255,29.12,-3.4600000381469727,1.7599999904632568,-1.9800000190734863,17.478,138.214,5.2,2015-09-02 17:07:04.109000+00:00,3,1.45,10.935,-4.63,11.875,37.646,429,461,7269,7301,3193,49.661,2.319,10.591,38.246,2.524,10.983,38.329,3.428,-20.56,30.704,3.428,-20.56,30.704,3.255,3.309,29.12,29.459,36.072,-110.383,-25.727,37.516,-109.794,-25.672,20.485,-231.531,-86.493,19.674,-229.332,-89.559,23948272.0,2450723.75,23656716.0,2530082.75,29775006.0,2835538.75,29664688.0,2798683.75,1.87,1.864,
3,2015-09-02 17:00:03,2015-09-02 17:10:03,1.47,10.93,-4.64,-0.4399999976158142,16.149999618530273,32.84000015258789,5.454,bisection,False,False,True,1.302,37.646,3.255,29.12,-3.4600000381469727,1.7599999904632568,-1.9800000190734863,17.478,138.214,5.2,2015-09-02 17:07:04.109000+00:00,3,1.45,10.935,-4.63,11.875,37.646,429,461,7269,7301,3193,49.661,2.319,10.591,38.246,2.524,10.983,38.329,3.428,-20.56,30.704,3.428,-20.56,30.704,3.255,3.309,29.12,29.459,36.072,-110.383,-25.727,37.516,-109.794,-25.672,20.485,-231.531,-86.493,19.674,-229.332,-89.559,23948272.0,2450723.75,23656716.0,2530082.75,29775006.0,2835538.75,29664688.0,2798683.75,1.87,1.864,
3,2015-09-03 17:09:34,2015-09-03 17:19:34,1.5,10.93,-4.61,10.260000228881836,10.850000381469727,32.36000061035156,9.019,shear,False,False,True,1.358,60.008,2.222,38.132,3.069999933242798,4.860000133514404,4.860000133514404,17.074,45.029,3.84,2015-09-03 17:23:54.199000+00:00,3,1.418,10.955,-4.538,11.857,60.008,6910,6942,3288,3320,268,25.545,2.842,-1.681,30.022,3.056,-1.115,29.918,3.802,-19.485,36.971,3.802,-19.485,36.971,2.222,2.239,38.132,38.07,90.295,143.474,-33.738,91.016,149.806,-34.937,0.644,-272.752,-130.213,0.241,-272.819,-129.943,44813712.0,1353577.375,45792284.0,1380423.25,52065572.0,2090190.0,53097936.0,2192068.5,1.265,4.108,
3,2015-09-03 17:09:34,2015-09-03 17:19:34,1.5,10.93,-4.61,10.260000228881836,10.850000381469727,32.36000061035156,5.32,rx_en,False,False,True,1.358,60.008,2.222,38.132,3.069999933242798,4.860000133514404,4.860000133514404,17.074,45.029,3.84,2015-09-03 17:23:54.199000+00:00,3,1.418,10.955,-4.538,11.857,60.008,6910,6942,3288,3320,268,25.545,2.842,-1.681,30.022,3.056,-1.115,29.918,3.802,-19.485,36.971,3.802,-19.485,36.971,2.222,2.239,38.132,38.07,90.295,143.474,-33.738,91.016,149.806,-34.937,0.644,-272.752,-130.213,0.241,-272.819,-129.943,44813712.0,1353577.375,45792284.0,1380423.25,52065572.0,2090190.0,53097936.0,2192068.5,1.265,4.108,
