mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used
1,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.39,21.43,27.93,2.65,shear
1,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.39,21.43,27.93,1.33,rx_en
1,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.39,21.43,27.93,2.99,va_cs
1,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.39,21.43,27.93,4.98,bisection
1,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.01,-2.27,-17.02,1.28,shear
1,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.01,-2.27,-17.02,4.48,rx_en
1,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.01,-2.27,-17.02,0.32,va_cs
1,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.01,-2.27,-17.02,5.44,bisection
1,2015-10-22 06:00:22,2015-10-22 06:10:22,9.62,3.47,-1.96,-1.62,-9.76,-13.57,2.65,shear
1,2015-10-22 06:00:22,2015-10-22 06:10:22,9.62,3.47,-1.96,-1.62,-9.76,-13.57,4.64,rx_en
1,2015-10-22 06:00:22,2015-10-22 06:10:22,9.62,3.47,-1.96,-1.62,-9.76,-13.57,1.0,va_cs
1,2015-10-22 06:00:22,2015-10-22 06:10:22,9.62,3.47,-1.96,-1.62,-9.76,-13.57,nan,bisection
1,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.51,20.06,23.92,10.5,shear
1,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.51,20.06,23.92,4.92,rx_en
1,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.51,20.06,23.92,5.25,va_cs
1,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.51,20.06,23.92,5.25,bisection
1,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.75,-0.1,10.5,1.57,shear
1,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.75,-0.1,10.5,4.08,rx_en
1,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.75,-0.1,10.5,6.59,va_cs
1,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.75,-0.1,10.5,6.28,bisection
1,2015-12-06 23:33:31,2015-12-06 23:43:31,8.5,-3.91,-0.81,5.69,-1.95,12.93,nan,shear
1,2015-12-06 23:33:31,2015-12-06 23:43:31,8.5,-3.91,-0.81,5.69,-1.95,12.93,nan,rx_en
1,2015-12-06 23:33:31,2015-12-06 23:43:31,8.5,-3.91,-0.81,5.69,-1.95,12.93,nan,va_cs
1,2015-12-06 23:33:31,2015-12-06 23:43:31,8.5,-3.91,-0.81,5.69,-1.95,12.93,1.53,bisection
1,2015-12-08 11:15:44,2015-12-08 11:25:44,10.22,1.29,-1.36,11.28,9.21,24.86,14.42,shear
1,2015-12-08 11:15:44,2015-12-08 11:25:44,10.22,1.29,-1.36,11.28,9.21,24.86,1.23,rx_en
1,2015-12-08 11:15:44,2015-12-08 11:25:44,10.22,1.29,-1.36,11.28,9.21,24.86,3.68,va_cs
1,2015-12-08 11:15:44,2015-12-08 11:25:44,10.22,1.29,-1.36,11.28,9.21,24.86,3.37,bisection
1,2015-12-09 01:01:11,2015-12-09 01:11:11,9.91,-3.67,-0.93,2.6,2.62,-7.12,13.56,shear
1,2015-12-09 01:01:11,2015-12-09 01:11:11,9.91,-3.67,-0.93,2.6,2.62,-7.12,1.89,rx_en
1,2015-12-09 01:01:11,2015-12-09 01:11:11,9.91,-3.67,-0.93,2.6,2.62,-7.12,4.41,va_cs
1,2015-12-09 01:01:11,2015-12-09 01:11:11,9.91,-3.67,-0.93,2.6,2.62,-7.12,3.78,bisection
1,2015-12-14 01:12:40,2015-12-14 01:22:40,10.12,-4.16,-1.19,10.14,-18.77,37.52,0.32,shear
1,2015-12-14 01:12:40,2015-12-14 01:22:40,10.12,-4.16,-1.19,10.14,-18.77,37.52,1.94,rx_en
1,2015-12-14 01:12:40,2015-12-14 01:22:40,10.12,-4.16,-1.19,10.14,-18.77,37.52,0.97,va_cs
1,2015-12-14 01:12:40,2015-12-14 01:22:40,10.12,-4.16,-1.19,10.14,-18.77,37.52,5.18,bisection
1,2016-01-07 09:31:15,2016-01-07 09:41:15,8.88,-1.96,-0.73,19.9,-12.89,64.18,0.64,shear
1,2016-01-07 09:31:15,2016-01-07 09:41:15,8.88,-1.96,-0.73,19.9,-12.89,64.18,0.96,rx_en
1,2016-01-07 09:31:15,2016-01-07 09:41:15,8.88,-1.96,-0.73,19.9,-12.89,64.18,4.46,va_cs
1,2016-01-07 09:31:15,2016-01-07 09:41:15,8.88,-1.96,-0.73,19.9,-12.89,64.18,4.15,bisection
1,2016-01-10 09:08:37,2016-01-10 09:18:37,8.8,-2.39,-0.77,13.64,-18.02,62.46,6.2,shear
1,2016-01-10 09:08:37,2016-01-10 09:18:37,8.8,-2.39,-0.77,13.64,-18.02,62.46,2.28,rx_en
1,2016-01-10 09:08:37,2016-01-10 09:18:37,8.8,-2.39,-0.77,13.64,-18.02,62.46,4.89,va_cs
1,2016-01-10 09:08:37,2016-01-10 09:18:37,8.8,-2.39,-0.77,13.64,-18.02,62.46,4.57,bisection
1,2016-10-22 12:53:41,2016-10-22 13:03:41,6.4,7.69,-4.7,-1.66,-6.28,-10.78,2.97,shear
1,2016-10-22 12:53:41,2016-10-22 13:03:41,6.4,7.69,-4.7,-1.66,-6.28,-10.78,4.96,rx_en
1,2016-10-22 12:53:41,2016-10-22 13:03:41,6.4,7.69,-4.7,-1.66,-6.28,-10.78,0.33,va_cs
1,2016-10-22 12:53:41,2016-10-22 13:03:41,6.4,7.69,-4.7,-1.66,-6.28,-10.78,4.63,bisection
