mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn
3,2017-01-20 21:04:00,2017-01-20 21:14:00,3.64,-4.53,-2.51,71.77999877929688,-147.47999572753906,42.650001525878906,15.51,shear,-3.7899999618530273,-1.25,0.4300000071525574,-15.206,288.983,2.1,
3,2017-01-20 21:04:00,2017-01-20 21:14:00,3.64,-4.53,-2.51,71.77999877929688,-147.47999572753906,42.650001525878906,16.156,rx_en,-3.7899999618530273,-1.25,0.4300000071525574,-15.206,288.983,2.1,
3,2017-01-20 21:04:00,2017-01-20 21:14:00,3.64,-4.53,-2.51,71.77999877929688,-147.47999572753906,42.650001525878906,16.37,va_cs,-3.7899999618530273,-1.25,0.4300000071525574,-15.206,288.983,2.1,
3,2017-01-20 21:04:00,2017-01-20 21:14:00,3.64,-4.53,-2.51,71.77999877929688,-147.47999572753906,42.650001525878906,2.291,bisection,-3.7899999618530273,-1.25,0.4300000071525574,-15.206,288.983,2.1,
3,2017-01-20 21:05:00,2017-01-20 21:15:00,3.67,-4.54,-2.51,71.30999755859375,-146.99000549316406,42.40999984741211,15.51,shear,-3.7899999618530273,-1.25,0.4300000071525574,-15.242,288.983,2.07,
3,2017-01-20 21:05:00,2017-01-20 21:15:00,3.67,-4.54,-2.51,71.30999755859375,-146.99000549316406,42.40999984741211,15.907,rx_en,-3.7899999618530273,-1.25,0.4300000071525574,-15.242,288.983,2.07,
3,2017-01-20 21:05:00,2017-01-20 21:15:00,3.67,-4.54,-2.51,71.30999755859375,-146.99000549316406,42.40999984741211,16.361,va_cs,-3.7899999618530273,-1.25,0.4300000071525574,-15.242,288.983,2.07,
3,2017-01-20 21:05:00,2017-01-20 21:15:00,3.67,-4.54,-2.51,71.30999755859375,-146.99000549316406,42.40999984741211,2.297,bisection,-3.7899999618530273,-1.25,0.4300000071525574,-15.242,288.983,2.07,
