mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn
3,2015-09-07 11:07:33,2015-09-07 11:17:33,4.69,7.95,-4.95,8.850000381469727,20.65999984741211,18.68000030517578,5.191,shear,-1.0299999713897705,-4.760000228881836,3.5,7.006,306.316,3.0,
3,2015-09-07 11:07:33,2015-09-07 11:17:33,4.69,7.95,-4.95,8.850000381469727,20.65999984741211,18.68000030517578,0.376,rx_en,-1.0299999713897705,-4.760000228881836,3.5,7.006,306.316,3.0,
3,2015-09-07 11:07:33,2015-09-07 11:17:33,4.69,7.95,-4.95,8.850000381469727,20.65999984741211,18.68000030517578,1.514,va_cs,-1.0299999713897705,-4.760000228881836,3.5,7.006,306.316,3.0,
3,2015-09-07 11:07:33,2015-09-07 11:17:33,4.69,7.95,-4.95,8.850000381469727,20.65999984741211,18.68000030517578,2.472,bisection,-1.0299999713897705,-4.760000228881836,3.5,7.006,306.316,3.0,
3,2015-09-07 11:07:33,2015-09-07 11:17:33,4.69,7.95,-4.95,8.850000381469727,20.65999984741211,18.68000030517578,5.191,shear,-1.0299999713897705,-4.760000228881836,3.5,7.006,306.316,3.0,
3,2015-09-07 11:07:33,2015-09-07 11:17:33,4.69,7.95,-4.95,8.850000381469727,20.65999984741211,18.68000030517578,0.376,rx_en,-1.0299999713897705,-4.760000228881836,3.5,7.006,306.316,3.0,
3,2015-09-07 11:07:33,2015-09-07 11:17:33,4.69,7.95,-4.95,8.850000381469727,20.65999984741211,18.68000030517578,1.514,va_cs,-1.0299999713897705,-4.760000228881836,3.5,7.006,306.316,3.0,
3,2015-09-07 11:07:33,2015-09-07 11:17:33,4.69,7.95,-4.95,8.850000381469727,20.65999984741211,18.68000030517578,2.472,bisection,-1.0299999713897705,-4.760000228881836,3.5,7.006,306.316,3.0,
3,2015-09-07 11:08:33,2015-09-07 11:18:33,4.68,7.96,-4.96,8.760000228881836,20.65999984741211,18.1299991607666,5.872,shear,-1.159999966621399,-4.760000228881836,3.9600000381469727,7.047,309.788,2.92,
3,2015-09-07 11:08:33,2015-09-07 11:18:33,4.68,7.96,-4.96,8.760000228881836,20.65999984741211,18.1299991607666,0.616,rx_en,-1.159999966621399,-4.760000228881836,3.9600000381469727,7.047,309.788,2.92,
