mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn
3,2017-02-03 21:59:00,2017-02-03 22:09:00,5.53,-6.58,-3.32,16.959999084472656,-52.619998931884766,26.889999389648438,8.911,shear,2.2100000381469727,-1.7999999523162842,-1.5,-13.556,230.194,1.89,
3,2017-02-03 21:59:00,2017-02-03 22:09:00,5.53,-6.58,-3.32,16.959999084472656,-52.619998931884766,26.889999389648438,6.355,rx_en,2.2100000381469727,-1.7999999523162842,-1.5,-13.556,230.194,1.89,
3,2017-02-03 21:59:00,2017-02-03 22:09:00,5.53,-6.58,-3.32,16.959999084472656,-52.619998931884766,26.889999389648438,4.372,va_cs,2.2100000381469727,-1.7999999523162842,-1.5,-13.556,230.194,1.89,
3,2017-02-03 21:59:00,2017-02-03 22:09:00,5.53,-6.58,-3.32,16.959999084472656,-52.619998931884766,26.889999389648438,4.372,bisection,2.2100000381469727,-1.7999999523162842,-1.5,-13.556,230.194,1.89,
3,2017-02-03 22:00:00,2017-02-03 22:10:00,5.55,-6.58,-3.32,17.290000915527344,-52.61000061035156,26.65999984741211,8.548,shear,2.259999990463257,-1.7799999713897705,-1.3799999952316284,-13.595,232.214,1.98,
3,2017-02-03 22:00:00,2017-02-03 22:10:00,5.55,-6.58,-3.32,17.290000915527344,-52.61000061035156,26.65999984741211,6.355,rx_en,2.259999990463257,-1.7799999713897705,-1.3799999952316284,-13.595,232.214,1.98,
3,2017-02-03 22:00:00,2017-02-03 22:10:00,5.55,-6.58,-3.32,17.290000915527344,-52.61000061035156,26.65999984741211,4.632,va_cs,2.259999990463257,-1.7799999713897705,-1.3799999952316284,-13.595,232.214,1.98,
3,2017-02-03 22:00:00,2017-02-03 22:10:00,5.55,-6.58,-3.32,17.290000915527344,-52.61000061035156,26.65999984741211,4.32,bisection,2.259999990463257,-1.7799999713897705,-1.3799999952316284,-13.595,232.214,1.98,
3,2017-02-03 22:01:00,2017-02-03 22:11:00,5.57,-6.59,-3.32,17.579999923706055,-52.56999969482422,26.010000228881836,8.509,shear,2.5,-1.7000000476837158,-1.3799999952316284,-13.635,230.932,2.01,
3,2017-02-03 22:01:00,2017-02-03 22:11:00,5.57,-6.59,-3.32,17.579999923706055,-52.56999969482422,26.010000228881836,6.354,rx_en,2.5,-1.7000000476837158,-1.3799999952316284,-13.635,230.932,2.01,
3,2017-02-03 22:01:00,2017-02-03 22:11:00,5.57,-6.59,-3.32,17.579999923706055,-52.56999969482422,26.010000228881836,4.37,va_cs,2.5,-1.7000000476837158,-1.3799999952316284,-13.635,230.932,2.01,
3,2017-02-03 22:01:00,2017-02-03 22:11:00,5.57,-6.59,-3.32,17.579999923706055,-52.56999969482422,26.010000228881836,4.32,bisection,2.5,-1.7000000476837158,-1.3799999952316284,-13.635,230.932,2.01,
3,2017-02-03 22:02:00,2017-02-03 22:12:00,5.59,-6.59,-3.33,17.360000610351562,-52.33000183105469,25.489999771118164,6.866,shear,2.9100000858306885,-1.4800000190734863,-1.3799999952316284,-13.674,227.003,1.99,
3,2017-02-03 22:02:00,2017-02-03 22:12:00,5.59,-6.59,-3.33,17.360000610351562,-52.33000183105469,25.489999771118164,6.308,rx_en,2.9100000858306885,-1.4800000190734863,-1.3799999952316284,-13.674,227.003,1.99,
3,2017-02-03 22:02:00,2017-02-03 22:12:00,5.59,-6.59,-3.33,17.360000610351562,-52.33000183105469,25.489999771118164,4.38,va_cs,2.9100000858306885,-1.4800000190734863,-1.3799999952316284,-13.674,227.003,1.99,
3,2017-02-03 22:02:00,2017-02-03 22:12:00,5.59,-6.59,-3.33,17.360000610351562,-52.33000183105469,25.489999771118164,4.33,bisection,2.9100000858306885,-1.4800000190734863,-1.3799999952316284,-13.674,227.003,1.99,
3,2017-02-03 22:03:00,2017-02-03 22:13:00,5.6,-6.6,-3.32,17.34000015258789,-51.84000015258789,25.489999771118164,5.32,shear,2.9100000858306885,-0.949999988079071,-1.5,-13.714,212.347,1.99,
3,2017-02-03 22:03:00,2017-02-03 22:13:00,5.6,-6.6,-3.32,17.34000015258789,-51.84000015258789,25.489999771118164,5.924,rx_en,2.9100000858306885,-0.949999988079071,-1.5,-13.714,212.347,1.99,
3,2017-02-03 22:03:00,2017-02-03 22:13:00,5.6,-6.6,-3.32,17.34000015258789,-51.84000015258789,25.489999771118164,4.32,va_cs,2.9100000858306885,-0.949999988079071,-1.5,-13.714,212.347,1.99,
3,2017-02-03 22:03:00,2017-02-03 22:13:00,5.6,-6.6,-3.32,17.34000015258789,-51.84000015258789,25.489999771118164,4.32,bisection,2.9100000858306885,-0.949999988079071,-1.5,-13.714,212.347,1.99,
3,2017-02-03 22:04:00,2017-02-03 22:14:00,5.62,-6.6,-3.32,17.260000228881836,-51.529998779296875,25.709999084472656,4.567,shear,3.0199999809265137,-0.7300000190734863,-1.2300000190734863,-13.754,210.689,2.02,
3,2017-02-03 22:04:00,2017-02-03 22:14:00,5.62,-6.6,-3.32,17.260000228881836,-51.529998779296875,25.709999084472656,5.553,rx_en,3.0199999809265137,-0.7300000190734863,-1.2300000190734863,-13.754,210.689,2.02,
3,2017-02-03 22:04:00,2017-02-03 22:14:00,5.62,-6.6,-3.32,17.260000228881836,-51.529998779296875,25.709999084472656,4.32,va_cs,3.0199999809265137,-0.7300000190734863,-1.2300000190734863,-13.754,210.689,2.02,
3,2017-02-03 22:04:00,2017-02-03 22:14:00,5.62,-6.6,-3.32,17.260000228881836,-51.529998779296875,25.709999084472656,4.32,bisection,3.0199999809265137,-0.7300000190734863,-1.2300000190734863,-13.754,210.689,2.02,
3,2017-02-03 22:05:00,2017-02-03 22:15:00,5.64,-6.61,-3.32,17.139999389648438,-51.02000045776367,26.1299991607666,1.21,shear,3.240000009536743,-0.4300000071525574,-0.8700000047683716,-13.793,206.301,2.04,
3,2017-02-03 22:05:00,2017-02-03 22:15:00,5.64,-6.61,-3.32,17.139999389648438,-51.02000045776367,26.1299991607666,5.408,rx_en,3.240000009536743,-0.4300000071525574,-0.8700000047683716,-13.793,206.301,2.04,
3,2017-02-03 22:05:00,2017-02-03 22:15:00,5.64,-6.61,-3.32,17.139999389648438,-51.02000045776367,26.1299991607666,6.44,va_cs,3.240000009536743,-0.4300000071525574,-0.8700000047683716,-13.793,206.301,2.04,
3,2017-02-03 22:05:00,2017-02-03 22:15:00,5.64,-6.61,-3.32,17.139999389648438,-51.02000045776367,26.1299991607666,4.32,bisection,3.240000009536743,-0.4300000071525574,-0.8700000047683716,-13.793,206.301,2.04,
3,2017-02-03 22:06:00,2017-02-03 22:16:00,5.66,-6.62,-3.32,17.43000030517578,-50.81999969482422,26.170000076293945,3.143,shear,3.240000009536743,-0.3400000035762787,-0.41999998688697815,-13.833,218.991,2.05,
3,2017-02-03 22:06:00,2017-02-03 22:16:00,5.66,-6.62,-3.32,17.43000030517578,-50.81999969482422,26.170000076293945,5.403,rx_en,3.240000009536743,-0.3400000035762787,-0.41999998688697815,-13.833,218.991,2.05,
3,2017-02-03 22:06:00,2017-02-03 22:16:00,5.66,-6.62,-3.32,17.43000030517578,-50.81999969482422,26.170000076293945,9.487,va_cs,3.240000009536743,-0.3400000035762787,-0.41999998688697815,-13.833,218.991,2.05,
3,2017-02-03 22:06:00,2017-02-03 22:16:00,5.66,-6.62,-3.32,17.43000030517578,-50.81999969482422,26.170000076293945,4.32,bisection,3.240000009536743,-0.3400000035762787,-0.41999998688697815,-13.833,218.991,2.05,
3,2017-02-03 22:07:00,2017-02-03 22:17:00,5.67,-6.62,-3.32,17.209999084472656,-50.77000045776367,26.149999618530273,12.338,shear,3.240000009536743,-0.20999999344348907,0.23000000417232513,-13.873,317.603,2.04,
3,2017-02-03 22:07:00,2017-02-03 22:17:00,5.67,-6.62,-3.32,17.209999084472656,-50.77000045776367,26.149999618530273,7.553,rx_en,3.240000009536743,-0.20999999344348907,0.23000000417232513,-13.873,317.603,2.04,
3,2017-02-03 22:07:00,2017-02-03 22:17:00,5.67,-6.62,-3.32,17.209999084472656,-50.77000045776367,26.149999618530273,10.192,va_cs,3.240000009536743,-0.20999999344348907,0.23000000417232513,-13.873,317.603,2.04,
3,2017-02-03 22:07:00,2017-02-03 22:17:00,5.67,-6.62,-3.32,17.209999084472656,-50.77000045776367,26.149999618530273,4.392,bisection,3.240000009536743,-0.20999999344348907,0.23000000417232513,-13.873,317.603,2.04,
3,2017-02-03 22:08:00,2017-02-03 22:18:00,5.69,-6.63,-3.32,16.690000534057617,-50.93000030517578,26.030000686645508,12.329,shear,3.109999895095825,-0.20999999344348907,0.3199999928474426,-13.913,326.725,2.06,
3,2017-02-03 22:08:00,2017-02-03 22:18:00,5.69,-6.63,-3.32,16.690000534057617,-50.93000030517578,26.030000686645508,7.549,rx_en,3.109999895095825,-0.20999999344348907,0.3199999928474426,-13.913,326.725,2.06,
3,2017-02-03 22:08:00,2017-02-03 22:18:00,5.69,-6.63,-3.32,16.690000534057617,-50.93000030517578,26.030000686645508,10.188,va_cs,3.109999895095825,-0.20999999344348907,0.3199999928474426,-13.913,326.725,2.06,
3,2017-02-03 22:08:00,2017-02-03 22:18:00,5.69,-6.63,-3.32,16.690000534057617,-50.93000030517578,26.030000686645508,1.159,bisection,3.109999895095825,-0.20999999344348907,0.3199999928474426,-13.913,326.725,2.06,
3,2017-02-03 22:09:00,2017-02-03 22:19:00,5.71,-6.63,-3.32,15.420000076293945,-50.93000030517578,26.190000534057617,12.329,shear,3.0899999141693115,-0.20999999344348907,0.4099999964237213,-13.953,332.879,2.01,
3,2017-02-03 22:09:00,2017-02-03 22:19:00,5.71,-6.63,-3.32,15.420000076293945,-50.93000030517578,26.190000534057617,8.13,rx_en,3.0899999141693115,-0.20999999344348907,0.4099999964237213,-13.953,332.879,2.01,
3,2017-02-03 22:09:00,2017-02-03 22:19:00,5.71,-6.63,-3.32,15.420000076293945,-50.93000030517578,26.190000534057617,10.445,va_cs,3.0899999141693115,-0.20999999344348907,0.4099999964237213,-13.953,332.879,2.01,
3,2017-02-03 22:09:00,2017-02-03 22:19:00,5.71,-6.63,-3.32,15.420000076293945,-50.93000030517578,26.190000534057617,1.777,bisection,3.0899999141693115,-0.20999999344348907,0.4099999964237213,-13.953,332.879,2.01,
3,2017-02-03 22:10:00,2017-02-03 22:20:00,5.73,-6.64,-3.32,14.140000343322754,-51.209999084472656,26.200000762939453,12.32,shear,3.0899999141693115,-0.20999999344348907,0.6100000143051147,-13.993,341.003,2.02,
3,2017-02-03 22:10:00,2017-02-03 22:20:00,5.73,-6.64,-3.32,14.140000343322754,-51.209999084472656,26.200000762939453,8.126,rx_en,3.0899999141693115,-0.20999999344348907,0.6100000143051147,-13.993,341.003,2.02,
3,2017-02-03 22:10:00,2017-02-03 22:20:00,5.73,-6.64,-3.32,14.140000343322754,-51.209999084472656,26.200000762939453,10.673,va_cs,3.0899999141693115,-0.20999999344348907,0.6100000143051147,-13.993,341.003,2.02,
3,2017-02-03 22:10:00,2017-02-03 22:20:00,5.73,-6.64,-3.32,14.140000343322754,-51.209999084472656,26.200000762939453,3.763,bisection,3.0899999141693115,-0.20999999344348907,0.6100000143051147,-13.993,341.003,2.02,
3,2017-02-03 22:11:00,2017-02-03 22:21:00,5.74,-6.64,-3.32,13.3100004196167,-50.95000076293945,26.979999542236328,12.32,shear,3.0,-0.23000000417232513,0.7599999904632568,-14.033,342.924,2.01,
3,2017-02-03 22:11:00,2017-02-03 22:21:00,5.74,-6.64,-3.32,13.3100004196167,-50.95000076293945,26.979999542236328,8.126,rx_en,3.0,-0.23000000417232513,0.7599999904632568,-14.033,342.924,2.01,
3,2017-02-03 22:11:00,2017-02-03 22:21:00,5.74,-6.64,-3.32,13.3100004196167,-50.95000076293945,26.979999542236328,10.673,va_cs,3.0,-0.23000000417232513,0.7599999904632568,-14.033,342.924,2.01,
3,2017-02-03 22:11:00,2017-02-03 22:21:00,5.74,-6.64,-3.32,13.3100004196167,-50.95000076293945,26.979999542236328,6.498,bisection,3.0,-0.23000000417232513,0.7599999904632568,-14.033,342.924,2.01,
3,2017-02-03 22:12:00,2017-02-03 22:22:00,5.76,-6.65,-3.32,13.859999656677246,-50.939998626708984,27.81999969482422,12.311,shear,3.0999999046325684,-0.23000000417232513,0.9399999976158142,-14.073,345.892,2.02,
3,2017-02-03 22:12:00,2017-02-03 22:22:00,5.76,-6.65,-3.32,13.859999656677246,-50.939998626708984,27.81999969482422,8.121,rx_en,3.0999999046325684,-0.23000000417232513,0.9399999976158142,-14.073,345.892,2.02,
3,2017-02-03 22:12:00,2017-02-03 22:22:00,5.76,-6.65,-3.32,13.859999656677246,-50.939998626708984,27.81999969482422,11.067,va_cs,3.0999999046325684,-0.23000000417232513,0.9399999976158142,-14.073,345.892,2.02,
3,2017-02-03 22:12:00,2017-02-03 22:22:00,5.76,-6.65,-3.32,13.859999656677246,-50.939998626708984,27.81999969482422,6.49,bisection,3.0999999046325684,-0.23000000417232513,0.9399999976158142,-14.073,345.892,2.02,
