mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn
3,2016-11-15 10:23:00,2016-11-15 10:33:00,9.37,5.48,-2.74,5.150000095367432,-19.530000686645508,-3.6600000858306885,2.504,shear,-2.2899999618530273,-3.430000066757202,-0.05000000074505806,-18.674,269.165,1.64,
3,2016-11-15 10:23:00,2016-11-15 10:33:00,9.37,5.48,-2.74,5.150000095367432,-19.530000686645508,-3.6600000858306885,0.234,rx_en,-2.2899999618530273,-3.430000066757202,-0.05000000074505806,-18.674,269.165,1.64,
3,2016-11-15 10:23:00,2016-11-15 10:33:00,9.37,5.48,-2.74,5.150000095367432,-19.530000686645508,-3.6600000858306885,4.231,va_cs,-2.2899999618530273,-3.430000066757202,-0.05000000074505806,-18.674,269.165,1.64,
3,2016-11-15 10:23:00,2016-11-15 10:33:00,9.37,5.48,-2.74,5.150000095367432,-19.530000686645508,-3.6600000858306885,3.401,bisection,-2.2899999618530273,-3.430000066757202,-0.05000000074505806,-18.674,269.165,1.64,
3,2016-11-15 10:24:00,2016-11-15 10:34:00,9.37,5.49,-2.74,5.260000228881836,-20.420000076293945,-3.75,2.513,shear,-2.2899999618530273,-3.390000104904175,-0.09000000357627869,-18.633,268.479,1.64,
3,2016-11-15 10:24:00,2016-11-15 10:34:00,9.37,5.49,-2.74,5.260000228881836,-20.420000076293945,-3.75,0.044,rx_en,-2.2899999618530273,-3.390000104904175,-0.09000000357627869,-18.633,268.479,1.64,
3,2016-11-15 10:24:00,2016-11-15 10:34:00,9.37,5.49,-2.74,5.260000228881836,-20.420000076293945,-3.75,4.241,va_cs,-2.2899999618530273,-3.390000104904175,-0.09000000357627869,-18.633,268.479,1.64,
3,2016-11-15 10:24:00,2016-11-15 10:34:00,9.37,5.49,-2.74,5.260000228881836,-20.420000076293945,-3.75,3.569,bisection,-2.2899999618530273,-3.390000104904175,-0.09000000357627869,-18.633,268.479,1.64,
3,2016-11-15 10:25:00,2016-11-15 10:35:00,9.37,5.51,-2.74,5.599999904632568,-21.3799991607666,-3.25,2.533,shear,-2.2899999618530273,-3.390000104904175,-0.09000000357627869,-18.591,268.479,1.64,
3,2016-11-15 10:25:00,2016-11-15 10:35:00,9.37,5.51,-2.74,5.599999904632568,-21.3799991607666,-3.25,0.206,rx_en,-2.2899999618530273,-3.390000104904175,-0.09000000357627869,-18.591,268.479,1.64,
3,2016-11-15 10:25:00,2016-11-15 10:35:00,9.37,5.51,-2.74,5.599999904632568,-21.3799991607666,-3.25,4.261,va_cs,-2.2899999618530273,-3.390000104904175,-0.09000000357627869,-18.591,268.479,1.64,
3,2016-11-15 10:25:00,2016-11-15 10:35:00,9.37,5.51,-2.74,5.599999904632568,-21.3799991607666,-3.25,3.562,bisection,-2.2899999618530273,-3.390000104904175,-0.09000000357627869,-18.591,268.479,1.64,
3,2016-11-15 10:26:00,2016-11-15 10:36:00,9.37,5.52,-2.74,5.900000095367432,-22.110000610351562,-2.9800000190734863,2.543,shear,-2.2899999618530273,-3.390000104904175,-0.09000000357627869,-18.55,268.479,1.64,
3,2016-11-15 10:26:00,2016-11-15 10:36:00,9.37,5.52,-2.74,5.900000095367432,-22.110000610351562,-2.9800000190734863,0.196,rx_en,-2.2899999618530273,-3.390000104904175,-0.09000000357627869,-18.55,268.479,1.64,
3,2016-11-15 10:26:00,2016-11-15 10:36:00,9.37,5.52,-2.74,5.900000095367432,-22.110000610351562,-2.9800000190734863,4.271,va_cs,-2.2899999618530273,-3.390000104904175,-0.09000000357627869,-18.55,268.479,1.64,
3,2016-11-15 10:26:00,2016-11-15 10:36:00,9.37,5.52,-2.74,5.900000095367432,-22.110000610351562,-2.9800000190734863,3.558,bisection,-2.2899999618530273,-3.390000104904175,-0.09000000357627869,-18.55,268.479,1.64,
3,2016-11-15 10:27:00,2016-11-15 10:37:00,9.37,5.53,-2.75,5.940000057220459,-21.690000534057617,-2.859999895095825,2.672,shear,-2.4100000858306885,-3.2300000190734863,-0.09000000357627869,-18.508,268.404,1.52,
3,2016-11-15 10:27:00,2016-11-15 10:37:00,9.37,5.53,-2.75,5.940000057220459,-21.690000534057617,-2.859999895095825,0.328,rx_en,-2.4100000858306885,-3.2300000190734863,-0.09000000357627869,-18.508,268.404,1.52,
3,2016-11-15 10:27:00,2016-11-15 10:37:00,9.37,5.53,-2.75,5.940000057220459,-21.690000534057617,-2.859999895095825,3.289,va_cs,-2.4100000858306885,-3.2300000190734863,-0.09000000357627869,-18.508,268.404,1.52,
3,2016-11-15 10:27:00,2016-11-15 10:37:00,9.37,5.53,-2.75,5.940000057220459,-21.690000534057617,-2.859999895095825,3.378,bisection,-2.4100000858306885,-3.2300000190734863,-0.09000000357627869,-18.508,268.404,1.52,
3,2016-11-15 10:28:00,2016-11-15 10:38:00,9.37,5.54,-2.75,6.050000190734863,-22.18000030517578,-2.619999885559082,2.562,shear,-2.869999885559082,-2.869999885559082,-0.15000000596046448,-18.467,267.008,1.52,
3,2016-11-15 10:28:00,2016-11-15 10:38:00,9.37,5.54,-2.75,6.050000190734863,-22.18000030517578,-2.619999885559082,0.344,rx_en,-2.869999885559082,-2.869999885559082,-0.15000000596046448,-18.467,267.008,1.52,
3,2016-11-15 10:28:00,2016-11-15 10:38:00,9.37,5.54,-2.75,6.050000190734863,-22.18000030517578,-2.619999885559082,2.227,va_cs,-2.869999885559082,-2.869999885559082,-0.15000000596046448,-18.467,267.008,1.52,
3,2016-11-15 10:28:00,2016-11-15 10:38:00,9.37,5.54,-2.75,6.050000190734863,-22.18000030517578,-2.619999885559082,3.372,bisection,-2.869999885559082,-2.869999885559082,-0.15000000596046448,-18.467,267.008,1.52,
3,2016-11-15 10:29:00,2016-11-15 10:39:00,9.37,5.55,-2.75,5.699999809265137,-21.579999923706055,-2.799999952316284,2.612,shear,-2.869999885559082,-2.869999885559082,-0.15000000596046448,-18.426,267.008,1.52,
3,2016-11-15 10:29:00,2016-11-15 10:39:00,9.37,5.55,-2.75,5.699999809265137,-21.579999923706055,-2.799999952316284,0.335,rx_en,-2.869999885559082,-2.869999885559082,-0.15000000596046448,-18.426,267.008,1.52,
3,2016-11-15 10:29:00,2016-11-15 10:39:00,9.37,5.55,-2.75,5.699999809265137,-21.579999923706055,-2.799999952316284,2.237,va_cs,-2.869999885559082,-2.869999885559082,-0.15000000596046448,-18.426,267.008,1.52,
3,2016-11-15 10:29:00,2016-11-15 10:39:00,9.37,5.55,-2.75,5.699999809265137,-21.579999923706055,-2.799999952316284,3.366,bisection,-2.869999885559082,-2.869999885559082,-0.15000000596046448,-18.426,267.008,1.52,
3,2016-11-15 10:30:00,2016-11-15 10:40:00,9.37,5.57,-2.75,5.269999980926514,-21.899999618530273,-3.1600000858306885,2.632,shear,-2.869999885559082,-2.869999885559082,-0.15000000596046448,-18.384,267.008,1.52,
3,2016-11-15 10:30:00,2016-11-15 10:40:00,9.37,5.57,-2.75,5.269999980926514,-21.899999618530273,-3.1600000858306885,0.318,rx_en,-2.869999885559082,-2.869999885559082,-0.15000000596046448,-18.384,267.008,1.52,
