Date,Probe,walen1,walen2,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,r_W,theta_w,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
2015-09-03 15:32:14.209000+00:00,3,False,False,True,2.411,10.406,-5.224,11.644,9.13,118.483,2015-09-03 15:29:33.677007360+00:00,263,296,2409,2475,88.254,8.819,-4.693,23.922,8.566,-4.69,23.92,3.89,-37.149,-7.423,3.89,-37.149,-7.423,1.157,1.168,27.609,27.627,63.98,105.798,-11.841,68.723,105.955,-10.657,-10.567,-207.601,-85.961,-9.041,-207.08,-86.331,5545896.0,151439.75,5457247.5,151001.765625,8458619.0,222605.359375,8440979.0,223845.3125,0.116,0.389,
2015-09-03 16:09:34.189000+00:00,3,True,True,True,2.087,10.639,-5.031,11.769,0.353,19.059,2015-09-03 16:12:42.545009024+00:00,921,954,370,436,68.638,4.864,2.988,34.229,4.909,2.977,34.133,2.383,-30.35,14.81,2.383,-30.35,14.81,2.084,2.06,35.569,34.718,32.365,52.729,0.996,33.234,51.905,0.125,-6.128,-230.669,-137.574,-2.648,-224.331,-137.778,3489697.5,196703.828125,3517974.75,196301.390625,4619712.5,238311.5625,4627408.5,240732.203125,0.226,0.231,
2015-09-04 11:42:54.163000+00:00,3,False,False,True,4.187,8.289,-5.061,9.712,0.896,129.311,2015-09-04 11:47:07.129763968+00:00,2760,2793,100,166,30.077,10.354,-13.058,18.605,10.116,-13.081,18.47,7.314,-1.792,24.541,7.314,-1.792,24.541,1.164,1.164,8.465,8.181,46.758,-2.523,7.305,48.415,-0.32,8.075,3.93,-99.9,106.119,4.059,-104.713,103.999,8841600.0,1185072.75,9008174.0,1193138.75,10886475.0,1369765.25,10959989.0,1375955.25,0.521,0.625,
2015-09-06 12:30:34.137000+00:00,3,False,False,True,4.139,8.781,-5.396,10.306,2.157,95.636,2015-09-06 12:35:26.382174976+00:00,685,718,1546,1612,5.014,9.44,-4.202,20.855,9.576,-4.193,20.845,15.4,-5.103,39.913,15.4,-5.103,39.913,0.576,0.572,8.635,8.914,64.578,-76.937,-62.654,64.512,-75.303,-64.578,-20.992,-207.338,-148.295,-16.626,-211.858,-153.31,9183722.0,722923.5,9045360.0,721335.4375,11441286.0,712803.5,10966385.0,711880.5625,0.118,0.355,
2015-09-06 12:37:14.193000+00:00,3,True,True,True,4.098,8.846,-5.421,10.375,2.831,138.566,2015-09-06 12:36:33.582657920+00:00,3248,3281,878,944,13.147,5.257,-7.91,19.361,5.314,-6.93,20.101,15.4,-5.103,39.913,15.4,-5.103,39.913,0.674,0.679,8.635,8.914,-4.993,-26.516,-79.66,-9.019,-24.646,-80.293,-20.992,-207.338,-148.295,-16.626,-211.858,-153.31,6904050.5,722923.5,6919744.5,721335.4375,9414622.0,712803.5,9487702.0,711880.5625,0.118,0.394,
2015-09-06 13:18:54.125000+00:00,3,True,True,True,3.817,9.25,-5.532,10.778,1.347,108.466,2015-09-06 13:18:31.425578496+00:00,2459,2492,474,540,23.996,14.039,-14.722,7.203,14.012,-14.388,7.262,9.995,-22.039,17.869,9.995,-22.039,17.869,1.366,1.379,6.776,6.812,76.132,-2.358,-52.41,76.5,-6.349,-53.911,6.424,-144.727,-33.818,10.942,-146.209,-32.673,3816647.75,1253066.5,3811362.75,1252450.75,4370229.0,906891.0,4438641.5,910417.625,0.301,0.413,
2015-09-07 13:26:34.114000+00:00,3,False,True,True,3.886,9.299,-5.568,10.838,1.182,90.401,2015-09-07 13:28:29.000150528+00:00,1131,1164,242,308,157.212,10.214,-5.782,28.313,10.212,-5.821,28.498,-1.351,-2.384,-37.76,-1.351,-2.384,-37.76,0.685,0.679,14.605,14.804,37.769,-42.765,33.88,36.751,-39.149,30.516,-69.668,-319.949,-74.01,-73.548,-299.519,-75.022,6937274.0,310069.15625,6923272.0,317804.9375,9592178.0,390433.5625,9564182.0,391967.3125,0.125,0.196,
2015-09-07 14:07:14.197000+00:00,3,False,True,True,3.589,9.651,-5.569,11.143,1.768,91.791,2015-09-07 14:11:48.442952960+00:00,1975,2008,617,683,107.564,7.14,-1.201,27.835,7.201,-1.008,28.077,-5.045,40.954,-10.51,-5.045,40.954,-10.51,1.48,1.491,18.863,18.381,-13.314,94.059,-79.993,-15.622,92.373,-79.534,41.707,-248.012,-143.383,48.62,-242.251,-155.084,4500003.5,286502.3125,4549620.5,306649.8125,5267404.0,353624.5625,5269806.5,386697.5625,0.13,0.3,
2015-09-07 17:28:14.211000+00:00,3,False,True,True,1.862,10.802,-4.599,11.74,2.124,99.493,2015-09-07 17:29:25.652825088+00:00,243,276,1344,1410,97.588,12.476,-11.971,21.035,12.454,-11.949,21.11,9.614,-38.754,-36.88,9.614,-38.754,-36.88,1.408,1.431,15.466,15.64,3.904,-77.146,-58.673,3.882,-84.745,-59.695,27.44,-320.142,-6.341,25.793,-322.65,-4.93,4510600.0,254189.09375,4462840.0,254779.875,5601249.0,414217.375,5648882.5,411370.15625,0.058,0.325,
2015-09-07 17:56:14.084000+00:00,3,True,True,True,1.597,10.847,-4.392,11.702,2.325,158.462,2015-09-07 17:56:56.265289088+00:00,93,126,1281,1347,79.506,12.769,-26.22,13.267,13.523,-27.401,12.919,3.415,-18.468,-27.26,3.415,-18.468,-27.26,0.966,0.963,12.261,12.626,-16.228,62.945,-4.706,-10.366,47.802,-2.232,-31.247,-253.667,-48.308,-41.624,-252.566,-45.059,5458713.0,518018.8125,5453905.5,518585.75,6081850.5,533081.6875,6017876.5,535132.9375,0.203,0.184,
