EventId,DateStart,Wsli_tot,Wcci_tot
20150906_201154,2015-09-06 20:11:54.153,0.321046,0.94744
20150907_131104,2015-09-07 13:11:04.101,0.0164052,0.0525902
20150907_131544,2015-09-07 13:15:44.155,-0.395499,-0.67712
20150907_132634,2015-09-07 13:26:34.114,0.119759,0.334998
20150907_133634,2015-09-07 13:36:34.122,-0.470646,-0.843905
20150907_134434,2015-09-07 13:44:34.129,-0.0561053,-0.101962
20150907_134914,2015-09-07 13:49:14.182,-0.0369804,-0.165359
20150907_135554,2015-09-07 13:55:54.088,-0.196954,-0.494536
20150907_135934,2015-09-07 13:59:34.141,0.462221,0.901622
20150907_140224,2015-09-07 14:02:24.093,-0.254075,-0.824126
20150907_140334,2015-09-07 14:03:34.144,0.0391709,0.125621
20150907_140714,2015-09-07 14:07:14.197,0.222183,0.533727
20150907_141324,2015-09-07 14:13:24.102,-0.109554,-0.293519
20150907_141854,2015-09-07 14:18:54.107,-0.0308454,-0.043842
20150907_151634,2015-09-07 15:16:34.204,-0.369959,-0.973673
20150907_152954,2015-09-07 15:29:54.165,-0.482685,-0.967141
20150907_153954,2015-09-07 15:39:54.173,-0.210511,-0.907534
20150907_154514,2015-09-07 15:45:14.127,-0.450329,-0.980052
20150907_170124,2015-09-07 17:01:24.089,-0.834883,-0.948935
20150907_170734,2015-09-07 17:07:34.144,0.180581,0.51175
20150907_172814,2015-09-07 17:28:14.211,-0.0322425,-0.0485706
20150907_175614,2015-09-07 17:56:14.084,-0.355534,-0.595669
20150907_180414,2015-09-07 18:04:14.090,-0.790429,-0.959845
20150907_195214,2015-09-07 19:52:14.178,-0.103994,-0.402851
20150907_200334,2015-09-07 20:03:34.137,0.172252,0.660686
20150907_203004,2015-09-07 20:30:04.159,0.0479644,0.271776
20150907_210044,2015-09-07 21:00:44.083,0.233611,0.859802
20150907_210644,2015-09-07 21:06:44.088,0.0876859,0.611851
20150907_212254,2015-09-07 21:22:54.151,0.0591394,0.610799
20150908_100704,2015-09-08 10:07:04.127,0.0718201,0.602524
20150908_100904,2015-09-08 10:09:04.129,0.127984,0.713018
20150908_101104,2015-09-08 10:11:04.130,-0.412363,-0.895267
20150908_101254,2015-09-08 10:12:54.082,-0.101505,-0.553506
20150908_101454,2015-09-08 10:14:54.083,-0.136444,-0.637142
20150908_101654,2015-09-08 10:16:54.085,-0.150316,-0.672604
20150908_101854,2015-09-08 10:18:54.086,-0.0707593,-0.510041
20150908_102044,2015-09-08 10:20:44.188,0.182144,0.91071
20150908_102234,2015-09-08 10:22:34.139,0.100787,0.618033
20150908_102434,2015-09-08 10:24:34.141,-0.084683,-0.489736
20150908_102634,2015-09-08 10:26:34.142,-0.236875,-0.804963
20150908_102834,2015-09-08 10:28:34.144,-0.266295,-0.843507
20150908_103034,2015-09-08 10:30:34.145,-0.187657,-0.713269
20150908_103224,2015-09-08 10:32:24.097,-0.211806,-0.793496
20150908_103434,2015-09-08 10:34:34.148,-0.128789,-0.656972
20150908_103634,2015-09-08 10:36:34.150,-0.17653,-0.674843
20150908_103824,2015-09-08 10:38:24.101,-0.182595,-0.649402
20150908_104024,2015-09-08 10:40:24.103,0.0292068,0.180058
20150908_104224,2015-09-08 10:42:24.105,0.0499651,0.303242
20150908_104424,2015-09-08 10:44:24.106,0.297289,0.93778
20150908_104624,2015-09-08 10:46:24.108,-0.07493,-0.404881
20150908_104814,2015-09-08 10:48:14.209,-0.0597251,-0.260002
20150908_105014,2015-09-08 10:50:14.211,0.096272,0.428637
20150908_105214,2015-09-08 10:52:14.212,-0.233809,-0.834104
20150908_105414,2015-09-08 10:54:14.214,-0.230575,-0.79725
20150908_105614,2015-09-08 10:56:14.215,-0.106888,-0.692356
20150908_105804,2015-09-08 10:58:04.167,-0.0172749,-0.146269
20150908_110004,2015-09-08 11:00:04.168,0.021688,0.197143
20150908_110204,2015-09-08 11:02:04.170,-0.364252,-0.87383
20150908_110404,2015-09-08 11:04:04.171,-0.269821,-0.696159
20150908_110554,2015-09-08 11:05:54.123,-0.337457,-0.741257
20150908_110754,2015-09-08 11:07:54.124,0.107131,0.525927
20150908_110954,2015-09-08 11:09:54.126,0.0164365,0.0827854
20150908_111154,2015-09-08 11:11:54.127,-0.292444,-0.815682
20150908_111354,2015-09-08 11:13:54.129,0.0221083,0.195661
20150908_111544,2015-09-08 11:15:44.080,0.201395,0.672171
20150908_111744,2015-09-08 11:17:44.082,0.0431026,0.211574
20150908_111944,2015-09-08 11:19:44.084,-0.0133523,-0.0657574
20150908_112144,2015-09-08 11:21:44.085,-0.166682,-0.707143
20150908_112334,2015-09-08 11:23:34.187,-0.506066,-0.866215
20150908_112534,2015-09-08 11:25:34.188,-0.371053,-0.834471
20150908_115254,2015-09-08 11:52:54.159,0.30456,0.974416
20150908_134034,2015-09-08 13:40:34.144,0.603663,0.951444
20150908_145304,2015-09-08 14:53:04.201,-0.599876,-0.982653
20150908_160704,2015-09-08 16:07:04.109,-0.413383,-0.837682
20150908_164204,2015-09-08 16:42:04.137,-0.187587,-0.866267
20150908_170204,2015-09-08 17:02:04.153,-0.0255654,-0.257632
20150908_171924,2015-09-08 17:19:24.117,0.242764,0.917602
20150908_173544,2015-09-08 17:35:44.080,-0.259511,-0.951874
20150908_174144,2015-09-08 17:41:44.084,0.464453,0.968415
20150908_175634,2015-09-08 17:56:34.196,0.0685413,0.196837
20150908_181504,2015-09-08 18:15:04.211,0.0766655,0.18178
20150909_082814,2015-09-09 08:28:14.183,0.094251,0.206386
20150909_084024,2015-09-09 08:40:24.092,-0.550792,-0.78355
20150909_084154,2015-09-09 08:41:54.093,-0.356855,-0.680742
20150909_084324,2015-09-09 08:43:24.094,0.162869,0.414534
20150909_084504,2015-09-09 08:45:04.146,-0.895282,-0.665535
20150909_085024,2015-09-09 08:50:24.100,-0.484513,-0.899559
20150909_085524,2015-09-09 08:55:24.104,-0.695762,-0.877967
20150909_090104,2015-09-09 09:01:04.158,-0.966413,-0.95956
20150909_123704,2015-09-09 12:37:04.179,-0.0473974,-0.140115
20150909_125814,2015-09-09 12:58:14.096,-0.0329661,-0.138334
20150909_131744,2015-09-09 13:17:44.112,-0.436184,-0.78993
20150909_134244,2015-09-09 13:42:44.132,0.0880423,0.27228
20150909_135134,2015-09-09 13:51:34.089,-0.0220975,-0.126117
20150909_135254,2015-09-09 13:52:54.191,-0.115914,-0.332484
20150909_135354,2015-09-09 13:53:54.191,-0.385309,-0.723738
20150909_135734,2015-09-09 13:57:34.094,-0.669652,-0.932394
20150909_140014,2015-09-09 14:00:14.147,-0.033282,-0.0783283
20150909_140354,2015-09-09 14:03:54.200,-0.0578431,-0.267016
20150909_140554,2015-09-09 14:05:54.201,0.0691958,0.233272
20150909_140824,2015-09-09 14:08:24.203,-0.291419,-0.732806
20150909_140944,2015-09-09 14:09:44.154,0.0896756,0.222548
20150909_141114,2015-09-09 14:11:14.156,-0.081559,-0.263544
20150909_141604,2015-09-09 14:16:04.109,-0.0875642,-0.502491
20150909_142124,2015-09-09 14:21:24.214,0.0232218,0.0901701
20150909_142314,2015-09-09 14:23:14.165,0.00502867,0.0147997
20150909_142534,2015-09-09 14:25:34.117,0.0117289,0.048005
20150909_142734,2015-09-09 14:27:34.119,-0.205516,-0.78756
20150909_143004,2015-09-09 14:30:04.121,0.0296748,0.146364
20150909_143144,2015-09-09 14:31:44.172,-0.0268261,-0.143746
20150909_143344,2015-09-09 14:33:44.174,0.00736431,0.0311895
20150909_143714,2015-09-09 14:37:14.177,-0.206564,-0.511882
20150909_144654,2015-09-09 14:46:54.085,-0.0851385,-0.454173
20150909_145004,2015-09-09 14:50:04.137,0.236613,0.462491
20150909_145404,2015-09-09 14:54:04.141,-0.224562,-0.64192
20150909_145724,2015-09-09 14:57:24.093,0.164931,0.500766
20150909_145934,2015-09-09 14:59:34.145,-0.262467,-0.497197
20150909_150104,2015-09-09 15:01:04.146,-0.541343,-0.657261
20150909_150414,2015-09-09 15:04:14.199,-0.195227,-0.686642
20150909_150604,2015-09-09 15:06:04.150,0.125542,0.336795
20150909_150824,2015-09-09 15:08:24.102,-0.290829,-0.733047
20150909_151244,2015-09-09 15:12:44.206,0.0468141,0.11368
20150909_152334,2015-09-09 15:23:34.165,-0.112722,-0.186118
20150909_153024,2015-09-09 15:30:24.120,-0.429401,-0.800671
20150909_153514,2015-09-09 15:35:14.224,-0.548313,-0.883103
20150909_154254,2015-09-09 15:42:54.131,0.051897,0.189994
