Date,Probe,walen1,walen2,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,r_W,theta_w,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
2015-09-02 16:41:24.189000+00:00,3,False,False,True,1.68,10.831,-4.803,11.848,2.285,34.224,2015-09-02 16:45:08.583303424+00:00,407,439,3087,3119,1496,24.016,3.298,-1.018,28.416,3.418,-1.106,28.448,6.734,-13.629,27.972,6.734,-13.629,27.972,4.286,4.269,38.373,37.895,63.766,90.975,16.289,63.485,90.819,16.955,2.076,-303.346,-164.143,2.515,-303.471,-164.787,19652722.0,2579090.75,19664522.0,2591679.0,21195928.0,2512695.0,21182176.0,2563107.5,3.182,3.647,
2015-09-02 16:48:44.145000+00:00,3,False,True,True,1.617,10.862,-4.757,11.858,2.618,26.564,2015-09-02 16:45:08.583303424+00:00,407,439,4674,4706,1496,27.409,3.298,-1.018,28.416,3.418,-1.106,28.448,8.243,-14.011,25.599,8.243,-14.011,25.599,4.286,4.269,42.31,41.741,63.766,90.975,16.289,63.485,90.819,16.955,27.085,-223.596,-107.216,23.82,-223.445,-107.989,19652722.0,1745929.0,19664522.0,1762359.625,21195928.0,2178323.0,21182176.0,2220517.5,3.019,3.647,
2015-09-02 16:52:14.148000+00:00,3,False,True,True,1.586,10.877,-4.733,11.862,2.224,31.092,2015-09-02 16:45:33.633480960+00:00,240,272,4340,4372,1330,28.662,-0.986,-3.179,28.385,-1.063,-3.018,28.482,8.243,-14.011,25.599,8.243,-14.011,25.599,3.399,3.403,42.31,41.741,55.042,6.156,-2.768,55.89,5.382,-2.349,27.085,-223.596,-107.216,23.82,-223.445,-107.989,24237552.0,1745929.0,24320946.0,1762359.625,30102094.0,2178323.0,30226528.0,2220517.5,3.019,3.801,
2015-09-02 17:07:04.109000+00:00,3,False,False,True,1.45,10.935,-4.63,11.875,1.302,37.646,2015-09-02 17:05:03.191613952+00:00,429,461,7269,7301,3193,49.661,2.319,10.591,38.246,2.524,10.983,38.329,3.428,-20.56,30.704,3.428,-20.56,30.704,3.255,3.309,29.12,29.459,36.072,-110.383,-25.727,37.516,-109.794,-25.672,20.485,-231.531,-86.493,19.674,-229.332,-89.559,23948272.0,2450723.75,23656716.0,2530082.75,29775006.0,2835538.75,29664688.0,2798683.75,1.87,1.864,
