Date,Probe,walen1,walen2,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,r_W,theta_w,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
2015-09-02 16:41:24.189000+00:00,3,False,False,True,1.68,10.831,-4.803,11.848,2.285,34.224,2015-09-02 16:45:08.583303424+00:00,407,439,3087,3119,1496,24.016,3.298,-1.018,28.416,3.418,-1.106,28.448,6.734,-13.629,27.972,6.734,-13.629,27.972,4.286,4.269,38.373,37.895,63.766,90.975,16.289,63.485,90.819,16.955,2.076,-303.346,-164.143,2.515,-303.471,-164.787,19652722.0,2579090.75,19664522.0,2591679.0,21195928.0,2512695.0,21182176.0,2563107.5,3.182,3.647,
2015-09-02 16:48:44.145000+00:00,3,False,True,True,1.617,10.862,-4.757,11.858,2.618,26.564,2015-09-02 16:45:08.583303424+00:00,407,439,4674,4706,1496,27.409,3.298,-1.018,28.416,3.418,-1.106,28.448,8.243,-14.011,25.599,8.243,-14.011,25.599,4.286,4.269,42.31,41.741,63.766,90.975,16.289,63.485,90.819,16.955,27.085,-223.596,-107.216,23.82,-223.445,-107.989,19652722.0,1745929.0,19664522.0,1762359.625,21195928.0,2178323.0,21182176.0,2220517.5,3.019,3.647,
2015-09-02 16:52:14.148000+00:00,3,False,True,True,1.586,10.877,-4.733,11.862,2.224,31.092,2015-09-02 16:45:33.633480960+00:00,240,272,4340,4372,1330,28.662,-0.986,-3.179,28.385,-1.063,-3.018,28.482,8.243,-14.011,25.599,8.243,-14.011,25.599,3.399,3.403,42.31,41.741,55.042,6.156,-2.768,55.89,5.382,-2.349,27.085,-223.596,-107.216,23.82,-223.445,-107.989,24237552.0,1745929.0,24320946.0,1762359.625,30102094.0,2178323.0,30226528.0,2220517.5,3.019,3.801,
2015-09-02 17:07:04.109000+00:00,3,False,False,True,1.45,10.935,-4.63,11.875,1.302,37.646,2015-09-02 17:05:03.191613952+00:00,429,461,7269,7301,3193,49.661,2.319,10.591,38.246,2.524,10.983,38.329,3.428,-20.56,30.704,3.428,-20.56,30.704,3.255,3.309,29.12,29.459,36.072,-110.383,-25.727,37.516,-109.794,-25.672,20.485,-231.531,-86.493,19.674,-229.332,-89.559,23948272.0,2450723.75,23656716.0,2530082.75,29775006.0,2835538.75,29664688.0,2798683.75,1.87,1.864,
2015-09-03 17:23:54.199000+00:00,3,False,False,True,1.418,10.955,-4.538,11.857,1.358,60.008,2015-09-03 17:14:34.546635904+00:00,6910,6942,3288,3320,268,25.545,2.842,-1.681,30.022,3.056,-1.115,29.918,3.802,-19.485,36.971,3.802,-19.485,36.971,2.222,2.239,38.132,38.07,90.295,143.474,-33.738,91.016,149.806,-34.937,0.644,-272.752,-130.213,0.241,-272.819,-129.943,44813712.0,1353577.375,45792284.0,1380423.25,52065572.0,2090190.0,53097936.0,2192068.5,1.265,4.108,
2015-09-07 17:07:34.144000+00:00,3,False,False,True,2.053,10.746,-4.746,11.748,0.634,30.684,2015-09-07 17:06:53.842709632+00:00,4769,4801,724,756,2198,44.725,5.677,-10.021,21.615,5.444,-10.119,21.072,1.871,-41.936,15.627,1.871,-41.936,15.627,3.945,3.929,13.675,13.777,-26.41,-22.576,-1.644,-30.744,-23.328,-1.593,2.735,-288.143,-281.685,1.03,-287.19,-282.606,16380057.0,2558080.5,16448027.0,2551617.75,20235170.0,3652405.75,20107426.0,3649212.75,0.712,4.015,
2015-09-09 08:43:24.094000+00:00,3,False,False,True,5.291,6.001,-3.353,6.874,2.539,26.115,2015-09-09 08:42:50.951284480+00:00,1228,1260,3090,3122,980,46.711,30.83,-45.345,11.902,30.627,-45.557,11.915,12.859,-28.132,-20.557,12.859,-28.132,-20.557,2.785,2.72,37.229,36.543,15.644,37.752,-52.656,8.099,40.488,-53.89,-37.452,-63.165,-106.631,-33.113,-57.009,-98.118,25097052.0,4338150.5,25245284.0,4560837.5,22402180.0,4527286.5,22412968.0,4727442.5,4.436,0.729,
2015-09-09 08:45:04.146000+00:00,3,False,False,True,5.291,6.024,-3.374,6.905,2.392,33.03,2015-09-09 08:42:50.951284480+00:00,1228,1260,3222,3254,980,17.674,30.83,-45.345,11.902,30.627,-45.557,11.915,14.243,-35.27,18.466,14.243,-35.27,18.466,2.785,2.72,24.422,25.276,15.644,37.752,-52.656,8.099,40.488,-53.89,-22.008,-44.606,-158.67,-35.462,-49.506,-165.184,25097052.0,4161640.0,25245284.0,4329424.0,22402180.0,4672631.0,22412968.0,4727451.5,2.39,0.729,
2015-09-09 08:50:24.100000+00:00,3,False,False,True,5.291,6.111,-3.451,7.018,1.905,21.153,2015-09-09 08:42:51.026284544+00:00,1227,1259,3521,3553,979,40.684,30.83,-45.345,11.902,30.627,-45.557,11.915,21.581,-15.354,-11.272,21.581,-15.354,-11.272,2.785,2.72,36.064,35.504,15.644,37.752,-52.656,8.099,40.488,-53.89,-33.368,-108.82,-33.67,-33.321,-100.123,-33.545,25097052.0,4490610.0,25245284.0,4481586.5,22402180.0,4491965.0,22412968.0,4496946.0,5.752,0.729,
2015-09-09 13:42:44.132000+00:00,3,False,False,True,4.017,9.39,-5.621,10.944,2.234,52.664,2015-09-09 13:43:29.846563456+00:00,650,682,27,59,305,159.044,11.06,-17.806,15.508,11.019,-18.033,15.549,-4.413,18.129,-24.988,-4.413,18.129,-24.988,1.168,1.198,14.508,14.794,-93.298,37.287,-70.299,-97.456,36.738,-68.915,-6.903,-159.268,-48.344,-7.59,-160.267,-47.297,32188856.0,2048423.375,31480500.0,2078665.25,40307252.0,2468897.0,39972260.0,2501140.0,1.164,2.098,
