DateStart,Error
2015-09-07 13:11:04.101000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-06 20:11:54.153000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-07 13:15:44.155000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-07 13:36:34.122000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-07 13:44:34.129000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-07 13:49:14.182000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-07 13:59:34.141000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-07 13:55:54.088000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-07 14:02:24.093000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-07 14:03:34.144000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-07 14:13:24.102000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-07 14:18:54.107000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-07 15:16:34.204000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-07 15:45:14.127000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-07 17:07:34.144000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-07 15:39:54.173000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-07 15:29:54.165000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-07 19:52:14.178000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-07 20:03:34.137000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-07 17:01:24.089000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-07 18:04:14.090000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-08 10:09:04.129000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-08 10:07:04.127000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-08 10:28:34.144000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-07 20:30:04.159000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:30:34.145000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:32:24.097000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-07 21:22:54.151000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-08 10:16:54.085000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:18:54.086000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-07 21:00:44.083000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-08 10:26:34.142000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:22:34.139000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:20:44.188000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:12:54.082000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:14:54.083000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:11:04.130000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:24:34.141000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-07 21:06:44.088000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-08 10:36:34.150000+00:00,local variable 'ind_range_msp' referenced before assignment
