DateStart,Error
2015-09-07 21:22:54.151000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-08 10:32:24.097000+00:00,No variable by this name: mms3_fgm_b_gsm_srvy_l2
2015-09-08 10:07:04.127000+00:00,attempt to get argmin of an empty sequence
2015-09-08 10:11:04.130000+00:00,read length must be non-negative or -1
2015-09-08 10:14:54.083000+00:00,No variable by this name: mms3_fgm_b_gsm_srvy_l2
2015-09-08 10:38:24.101000+00:00,attempt to get argmin of an empty sequence
2015-09-08 10:24:34.141000+00:00,No variable by this name: mms3_fgm_flag_srvy_l2
2015-09-08 10:34:34.148000+00:00,No variable by this name: mms3_fgm_flag_srvy_l2
2015-09-08 10:54:14.214000+00:00,No variable by this name: mms3_fgm_b_gsm_srvy_l2
2015-09-08 10:12:54.082000+00:00,attempt to get argmin of an empty sequence
2015-09-08 10:22:34.139000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:30:34.145000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:28:34.144000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:09:04.129000+00:00,attempt to get argmin of an empty sequence
2015-09-08 10:26:34.142000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:00:04.168000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:04:04.171000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:02:04.170000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:07:54.124000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:11:54.127000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:52:54.159000+00:00,x and y arrays must have at least 2 entries
2015-09-08 11:05:54.123000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:09:54.126000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 13:40:34.144000+00:00,x and y arrays must have at least 2 entries
2015-09-08 17:19:24.117000+00:00,x and y arrays must have at least 2 entries
2015-09-08 11:13:54.129000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 16:07:04.109000+00:00,x and y arrays must have at least 2 entries
2015-09-08 11:19:44.084000+00:00,local variable 'ind_range_msp' referenced before assignment
