Date,Probe,walen1,walen2,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,r_W,theta_w,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
2015-09-07 14:03:34.144000+00:00,3,False,False,True,3.615,9.622,-5.572,11.119,2.679,42.568,2015-09-07 14:12:01.418042496+00:00,4593,4625,2027,2059,6449,129.676,6.334,0.036,27.848,6.354,-0.08,27.786,-13.256,31.261,-24.178,-13.256,31.261,-24.178,1.504,1.5,21.431,21.22,25.442,61.961,-96.242,25.686,62.384,-95.125,0.524,-312.786,-208.957,3.892,-318.487,-205.382,46014400.0,3081121.5,45658764.0,3118009.5,51722764.0,3598426.0,51755168.0,3708939.0,1.359,3.044,
2015-09-08 10:40:24.103000+00:00,3,False,False,True,4.938,7.576,-4.709,8.92,0.892,55.557,2015-09-08 10:49:02.335199616+00:00,4695,4727,1623,1655,7454,21.64,18.165,-30.659,55.563,18.12,-30.76,55.618,10.174,-13.073,83.727,10.174,-13.073,83.727,4.085,4.086,20.521,20.458,22.893,-76.306,-6.853,22.724,-76.059,-7.172,-31.341,-284.275,-113.02,-26.609,-285.343,-111.967,19364604.0,698903.4375,19369056.0,694763.25,26752184.0,2049826.875,26751456.0,2060135.5,0.112,0.71,
2015-09-08 17:56:34.196000+00:00,3,False,False,True,1.709,10.797,-4.404,11.661,1.169,43.645,2015-09-08 18:01:57.346921984+00:00,1268,1300,2333,2365,2155,28.206,7.839,-6.689,44.973,8.178,-6.896,45.187,-11.06,9.465,54.756,-11.06,9.465,54.756,2.105,2.092,23.347,21.733,19.888,20.367,-6.35,17.518,22.481,-5.82,-45.756,-299.974,-156.22,-58.844,-303.866,-154.887,31283846.0,1892630.0,31518932.0,1997713.875,42847056.0,2684575.75,43084408.0,2666184.5,0.512,1.206,
2015-09-09 13:51:34.089000+00:00,3,False,False,True,3.951,9.467,-5.62,11.009,2.287,64.157,2015-09-09 13:52:55.575419520+00:00,1141,1173,3016,3048,1142,89.614,9.047,-10.936,17.466,9.057,-11.046,17.582,11.856,5.243,-2.698,11.856,5.243,-2.698,0.706,0.706,14.133,14.009,49.407,22.338,-40.943,43.137,22.032,-39.912,-150.982,-159.573,-250.327,-148.716,-163.307,-246.55,54192124.0,4898221.0,54733744.0,4915913.5,74107368.0,4980229.0,74485368.0,4989609.0,17.6,2.967,
2015-09-09 13:52:54.191000+00:00,3,False,False,True,3.94,9.479,-5.619,11.02,2.287,64.157,2015-09-09 13:52:55.575419520+00:00,1073,1105,2948,2980,1074,89.614,9.047,-10.936,17.466,9.057,-11.046,17.582,11.856,5.243,-2.698,11.856,5.243,-2.698,0.706,0.706,14.133,14.009,49.407,22.338,-40.943,43.137,22.032,-39.912,-150.982,-159.573,-250.327,-148.716,-163.307,-246.55,54192124.0,4898221.0,54733744.0,4915913.5,74107368.0,4980229.0,74485368.0,4989609.0,17.6,2.967,
2015-09-09 13:53:54.191000+00:00,3,False,False,True,3.933,9.488,-5.619,11.027,2.287,64.157,2015-09-09 13:52:55.575419520+00:00,673,705,2548,2580,674,89.614,9.047,-10.936,17.466,9.057,-11.046,17.582,11.856,5.243,-2.698,11.856,5.243,-2.698,0.706,0.706,14.133,14.009,49.407,22.338,-40.943,43.137,22.032,-39.912,-150.982,-159.573,-250.327,-148.716,-163.307,-246.55,54192124.0,4898221.0,54733744.0,4915913.5,74107368.0,4980229.0,74485368.0,4989609.0,17.6,2.967,
2015-09-09 13:57:34.094000+00:00,3,False,False,True,3.907,9.517,-5.617,11.051,2.287,64.157,2015-09-09 13:52:55.575419520+00:00,542,574,2417,2449,543,89.614,9.047,-10.936,17.466,9.057,-11.046,17.582,11.856,5.243,-2.698,11.856,5.243,-2.698,0.706,0.706,14.133,14.009,49.407,22.338,-40.943,43.137,22.032,-39.912,-150.982,-159.573,-250.327,-148.716,-163.307,-246.55,54192124.0,4898221.0,54733744.0,4915913.5,74107368.0,4980229.0,74485368.0,4989609.0,17.6,2.967,
2015-09-09 14:00:14.147000+00:00,3,False,False,True,3.888,9.537,-5.615,11.068,1.998,52.26,2015-09-09 14:09:10.657073920+00:00,5628,5660,2417,2449,6242,83.884,6.609,-7.764,7.603,6.683,-7.836,7.484,11.856,5.243,-2.698,11.856,5.243,-2.698,1.063,1.072,14.133,14.009,-34.567,60.705,-59.153,-38.489,60.441,-59.694,-150.982,-159.573,-250.327,-148.716,-163.307,-246.55,58740596.0,4898221.0,58989912.0,4915913.5,68143984.0,4980229.0,68187608.0,4989609.0,17.6,14.275,
2015-09-09 14:03:54.200000+00:00,3,False,False,True,3.858,9.57,-5.612,11.094,1.998,52.26,2015-09-09 14:09:10.657073920+00:00,5566,5598,1482,1514,5307,89.943,12.17,-13.412,26.217,12.188,-13.821,26.544,11.856,5.243,-2.698,11.856,5.243,-2.698,0.628,0.62,14.133,14.009,80.628,70.295,55.576,85.747,67.279,53.453,-150.982,-159.573,-250.327,-148.716,-163.307,-246.55,65139244.0,4898221.0,64883828.0,4915913.5,70068304.0,4980229.0,70406128.0,4989609.0,17.6,1.414,
2015-09-09 14:05:54.201000+00:00,3,False,False,True,3.843,9.587,-5.61,11.107,1.998,52.26,2015-09-09 14:09:10.657073920+00:00,4766,4798,682,714,4507,89.943,12.17,-13.412,26.217,12.188,-13.821,26.544,11.856,5.243,-2.698,11.856,5.243,-2.698,0.628,0.62,14.133,14.009,80.628,70.295,55.576,85.747,67.279,53.453,-150.982,-159.573,-250.327,-148.716,-163.307,-246.55,65139244.0,4898221.0,64883828.0,4915913.5,70068304.0,4980229.0,70406128.0,4989609.0,17.6,1.414,
