DateStart,Error
2015-09-09 14:00:14.147000+00:00,v cannot be empty
2015-09-09 15:01:04.146000+00:00,v cannot be empty
2015-09-09 14:25:34.117000+00:00,v cannot be empty
2015-09-09 15:30:24.120000+00:00,v cannot be empty
2015-09-09 15:23:34.165000+00:00,v cannot be empty
2015-09-09 15:12:44.206000+00:00,v cannot be empty
2015-09-09 15:35:14.224000+00:00,v cannot be empty
2015-09-09 18:49:54.133000+00:00,a cannot be empty
2015-09-09 15:46:34.184000+00:00,v cannot be empty
2015-09-09 20:26:04.112000+00:00,magnetopause location not found
2015-09-09 19:00:04.192000+00:00,a cannot be empty
2015-09-09 19:13:44.103000+00:00,a cannot be empty
2015-09-09 19:34:14.120000+00:00,a cannot be empty
2015-09-10 19:06:14.179000+00:00,a cannot be empty
2015-09-10 19:57:14.220000+00:00,a cannot be empty
2015-09-10 12:42:34.123000+00:00,a cannot be empty
2015-09-10 18:23:24.194000+00:00,a cannot be empty
2015-09-10 20:06:44.078000+00:00,v cannot be empty
2015-09-10 19:38:14.205000+00:00,v cannot be empty
2015-09-10 19:12:14.183000+00:00,a cannot be empty
2015-09-10 20:08:24.130000+00:00,a cannot be empty
2015-09-10 20:30:54.148000+00:00,a cannot be empty
2015-09-10 20:10:34.182000+00:00,a cannot be empty
2015-09-10 20:33:44.101000+00:00,a cannot be empty
2015-09-10 20:54:34.218000+00:00,a cannot be empty
2015-09-10 21:02:44.125000+00:00,a cannot be empty
2015-09-11 08:15:34.103000+00:00,v cannot be empty
2015-09-11 08:21:04.107000+00:00,v cannot be empty
2015-09-11 09:41:54.119000+00:00,v cannot be empty
2015-09-11 09:29:54.110000+00:00,v cannot be empty
2015-09-11 10:15:24.146000+00:00,v cannot be empty
2015-09-11 11:01:44.133000+00:00,v cannot be empty
2015-09-11 10:58:04.080000+00:00,v cannot be empty
2015-09-11 11:39:04.113000+00:00,v cannot be empty
2015-09-11 11:42:44.166000+00:00,v cannot be empty
2015-09-11 11:50:44.172000+00:00,v cannot be empty
2015-09-11 13:57:44.126000+00:00,v cannot be empty
2015-09-11 15:08:24.083000+00:00,v cannot be empty
2015-09-11 15:47:14.215000+00:00,v cannot be empty
2015-09-11 15:56:14.222000+00:00,v cannot be empty
2015-09-11 15:37:24.107000+00:00,v cannot be empty
2015-09-11 15:59:44.075000+00:00,a cannot be empty
2015-09-13 11:14:04.216000+00:00,read length must be non-negative or -1
2015-09-13 14:22:44.120000+00:00,read length must be non-negative or -1
2015-09-13 15:31:24.076000+00:00,No variable by this name: mms3_fgm_b_bcs_srvy_l2
