time, x, y, z, r_yz, index
2015-09-18 08:28:54.184,6.314984160551724,6.016109472714001,-3.554092161571886,6.987499143515215,417
2015-09-18 08:32:14.136,6.317359644454628,6.05606729217848,-3.593297754905226,7.041856275358148,418
2015-09-18 08:39:14.142,6.321481398696991,6.14793184109234,-3.683775088705661,7.167095982815177,419
2015-09-18 08:42:34.094,6.3228104107254355,6.19316351393989,-3.728473921199403,7.228885950923582,420
2015-09-18 08:44:14.146,6.323233127210754,6.212408895348522,-3.747517954454636,7.255199177277307,421
2015-09-18 08:46:34.098,6.3237438582550665,6.244301185924772,-3.7791058821548376,7.298831315291428,422
2015-09-18 08:51:04.101,6.32405980681943,6.301139544949195,-3.835477871824113,7.376669307361892,423
2015-09-18 09:04:54.212,6.320219582684925,6.473497769229964,-4.0067189631617754,7.613144568309832,424
2015-09-18 09:07:44.164,6.318786676147493,6.50359432339712,-4.036616840105652,7.654476770958796,425
2015-09-18 09:24:44.178,6.303290436797663,6.703150703233894,-4.2341824344259305,7.928463296141703,426
2015-09-18 10:07:54.112,6.221275237403415,7.178490969908759,-4.690493233217072,8.575048651518937,427
2015-09-18 10:51:44.097,6.084978955789763,7.6138241047246815,-5.068501900073197,9.146585647591795,428
2015-09-18 11:06:34.209,6.02665496524589,7.7566638602349895,-5.179285698130759,9.326887722254266,429
2015-09-19 07:40:24.152,6.334876903847289,5.337268947991056,-2.9268556602138247,6.08711129181283,452
2015-09-19 07:45:24.156,6.349640248101032,5.412876951515295,-2.99711110519423,6.187237822253488,453
2015-09-19 08:25:54.188,6.425705844757525,5.982701406195775,-3.545738513299406,6.954493347497831,454
2015-09-19 08:34:04.095,6.432287953806547,6.087113954890612,-3.649184692051927,7.097147681747235,455
2015-09-19 08:36:44.147,6.433815000878825,6.119243168888399,-3.6811401306909697,7.141143439377959,456
2015-09-19 08:48:04.106,6.437686267033453,6.264102794989344,-3.8257606435553217,7.339988305710721,457
2015-09-19 08:50:54.208,6.437863471414508,6.3011260143928975,-3.862826606121231,7.3909145873983,458
2015-09-19 08:53:54.210,6.437704017399146,6.337843336792305,-3.8996108150197752,7.441452994566438,459
2015-09-19 09:01:14.166,6.43604455723278,6.422359112775623,-3.984321856287214,7.557877825682291,460
2015-09-19 09:04:44.169,6.434550500260008,6.464026054960613,-4.026077661814085,7.615309197804646,461
2015-09-19 09:08:14.172,6.432621310470956,6.505310628445629,-4.067425287762857,7.672223591899575,462
2015-09-19 09:11:34.125,6.430262618892246,6.546221333664374,-4.108358532116217,7.728623653519086,463
2015-09-19 09:13:54.076,6.428317948280544,6.575219051350969,-4.137339503539039,7.768595995467482,464
2015-09-19 09:17:14.179,6.425701567212477,6.609774467617216,-4.171830431849006,7.816219525119923,465
2015-09-19 09:25:44.186,6.41664118836731,6.706292252509312,-4.267827754939056,7.949132627016268,466
2015-09-19 09:33:34.142,6.4059398173824995,6.795336329338685,-4.355788805781445,8.071523520959417,467
2015-09-19 09:45:04.152,6.3869805455337705,6.920473635810824,-4.478039222301105,8.24292366945247,468
2015-09-19 10:01:34.165,6.352699936287685,7.094589516199421,-4.644466712360095,8.479638638856477,469
2015-09-19 10:07:14.220,6.33948536279045,7.151314549124959,-4.697514713570246,8.55616410926855,470
2015-09-19 10:36:24.143,6.254141011474982,7.445644882974118,-4.960409856874819,8.946691772467606,471
2015-09-19 10:38:54.145,6.2458286826596074,7.469885204800564,-4.980965533076135,8.978262783778986,472
2015-09-19 10:45:24.151,6.223456061893264,7.5324412058040044,-5.033117267975007,9.059246102854381,473
2015-09-19 10:47:44.103,6.216353412841534,7.551556382615694,-5.048785714387657,9.083845055351215,474
2015-09-19 11:05:04.217,6.149918059141722,7.716298765020291,-5.1781810370536885,9.292729711099753,475
2015-09-19 11:14:04.224,6.112830900799964,7.799370083430494,-5.239265104949243,9.395747577401673,476
2015-09-20 06:33:24.150,6.117097820817946,4.234230542663649,-1.994858917837099,4.680616454111563,485
2015-09-20 06:36:54.153,6.141558617249849,4.299367277145875,-2.0465035791179593,4.7615896382547875,486
2015-09-20 06:46:34.210,6.203572450566728,4.472190743357355,-2.1862812612739093,4.977983105472401,487
2015-09-20 06:55:34.217,6.256682445408522,4.630719509585105,-2.318032917146912,5.178497830590328,488
2015-09-20 07:09:14.127,6.326697043559941,4.859452768536808,-2.5141007138647455,5.4712871985571425,489
2015-09-20 07:12:04.079,6.340758864904798,4.908860392238254,-2.557373756069232,5.5350764112808015,490
2015-09-20 07:21:44.137,6.381866169824523,5.062037944231571,-2.6935864539998113,5.734076746435425,491
2015-09-20 07:29:04.093,6.410774244223997,5.1795532795756305,-2.8001587436390096,5.888009949511011,492
2015-09-20 07:33:04.096,6.424959013275495,5.241036527637705,-2.856617588402997,5.968980476631336,493
2015-09-20 07:48:14.158,6.470845474176214,5.46452612422392,-3.0657411258289784,6.265765269536103,494
2015-09-20 10:03:14.115,6.465124459335706,7.090774094564538,-4.673110864652942,8.492175364032759,495
2015-09-20 10:57:44.158,6.296441247137984,7.618139956614394,-5.131751140071123,9.18536478111708,496
2015-09-20 11:06:44.165,6.261154225060927,7.7008601403857835,-5.194918930734062,9.289264211910526,497
2015-09-20 11:18:34.125,6.211042933061688,7.809531012031557,-5.27336947075865,9.423226634386547,498
2015-09-20 11:26:24.081,6.175738220484292,7.881004354343087,-5.321959537243378,9.509652094016397,499
2015-09-20 11:37:44.190,6.1247782726723115,7.978074732799035,-5.383869616802706,9.624745632631425,500
2015-09-20 11:48:14.199,6.073585913223045,8.069486269281308,-5.437623789602535,9.730588940417276,501
