DateStart,Error
2015-09-01 12:30:44.092000+00:00,magnetopause location not found
2015-09-01 21:16:54.084000+00:00,magnetopause location not found
2015-09-01 21:09:14.178000+00:00,magnetopause location not found
2015-09-01 21:24:44.190000+00:00,magnetopause location not found
2015-09-02 18:10:04.009000+00:00,magnetopause location not found
2015-09-03 13:16:14.100000+00:00,magnetopause location not found
2015-09-03 23:11:03.927000+00:00,magnetopause location not found
2015-09-03 23:25:13.988000+00:00,magnetopause location not found
2015-09-05 15:47:04.202000+00:00,magnetopause location not found
2015-09-06 11:16:54.180000+00:00,magnetopause location not found
2015-09-04 23:02:24.105000+00:00,magnetopause location not found
2015-09-04 15:07:34.222000+00:00,magnetopause location not found
2015-09-05 15:54:54.159000+00:00,magnetopause location not found
2015-09-05 15:27:14.086000+00:00,magnetopause location not found
2015-09-06 11:09:24.174000+00:00,magnetopause location not found
2015-09-05 14:10:54.224000+00:00,magnetopause location not found
2015-09-05 14:55:54.111000+00:00,magnetopause location not found
2015-09-01 21:24:44.190000+00:00,magnetopause location not found
2015-09-01 12:30:44.092000+00:00,magnetopause location not found
2015-09-01 21:16:54.084000+00:00,magnetopause location not found
2015-09-01 21:09:14.178000+00:00,magnetopause location not found
2015-09-02 16:41:24.189000+00:00,a cannot be empty
2015-09-02 15:43:54.144000+00:00,a cannot be empty
2015-09-02 15:29:44.083000+00:00,a cannot be empty
2015-09-02 16:11:44.116000+00:00,a cannot be empty
2015-09-02 18:10:04.009000+00:00,magnetopause location not found
2015-09-03 13:16:14.100000+00:00,magnetopause location not found
2015-09-02 17:07:04.109000+00:00,v cannot be empty
2015-09-02 17:13:44.165000+00:00,v cannot be empty
2015-09-02 17:18:44.169000+00:00,v cannot be empty
2015-09-03 14:19:44.151000+00:00,a cannot be empty
2015-09-03 14:50:44.176000+00:00,a cannot be empty
2015-09-03 16:09:34.189000+00:00,v cannot be empty
2015-09-03 15:32:14.209000+00:00,a cannot be empty
2015-09-03 15:40:54.116000+00:00,a cannot be empty
2015-09-03 16:37:34.212000+00:00,a cannot be empty
2015-09-03 17:05:24.184000+00:00,v cannot be empty
2015-09-03 16:46:14.119000+00:00,v cannot be empty
2015-09-03 23:25:13.988000+00:00,magnetopause location not found
2015-09-03 17:23:54.199000+00:00,v cannot be empty
2015-09-03 23:11:03.927000+00:00,magnetopause location not found
2015-09-03 18:07:24.084000+00:00,a cannot be empty
2015-09-04 11:36:24.158000+00:00,a cannot be empty
2015-09-05 14:55:54.111000+00:00,magnetopause location not found
2015-09-05 15:47:04.202000+00:00,magnetopause location not found
2015-09-05 14:10:54.224000+00:00,magnetopause location not found
2015-09-04 12:36:54.055000+00:00,magnetopause location not found
2015-09-04 15:07:34.222000+00:00,magnetopause location not found
2015-09-04 23:02:24.105000+00:00,magnetopause location not found
2015-09-05 15:54:54.159000+00:00,magnetopause location not found
2015-09-05 15:27:14.086000+00:00,magnetopause location not found
2015-09-06 11:16:54.180000+00:00,magnetopause location not found
2015-09-06 11:09:24.174000+00:00,magnetopause location not found
2015-09-04 14:36:54.148000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-06 13:46:24.147000+00:00,magnetopause location not found
2015-09-06 18:50:03.987000+00:00,magnetopause location not found
2015-09-06 11:32:04.092000+00:00,magnetopause location not found
2015-09-06 11:24:34.086000+00:00,magnetopause location not found
2015-09-07 21:22:54.151000+00:00,magnetopause location not found
2015-09-09 20:26:04.112000+00:00,magnetopause location not found
2015-09-14 12:40:24.124000+00:00,magnetopause location not found
2015-09-15 17:19:04.202000+00:00,magnetopause location not found
2015-09-18 13:34:14.077000+00:00,magnetopause location not found
2015-09-18 15:44:44.183000+00:00,magnetopause location not found
2015-09-19 18:00:03.960000+00:00,magnetopause location not found
2015-09-21 14:57:54.181000+00:00,magnetopause location not found
2015-09-22 10:17:54.158000+00:00,magnetopause location not found
2015-09-22 10:26:04.215000+00:00,magnetopause location not found
2015-09-22 10:15:44.106000+00:00,magnetopause location not found
2015-09-26 14:29:44.099000+00:00,magnetopause location not found
2015-09-26 14:35:14.103000+00:00,magnetopause location not found
2015-10-04 09:36:54.102000+00:00,magnetopause location not found
2015-10-06 07:53:04.030000+00:00,magnetopause location not found
2015-10-08 16:31:04.030000+00:00,magnetopause location not found
2015-10-09 09:27:54.127000+00:00,magnetopause location not found
2015-10-09 15:12:14.216000+00:00,magnetopause location not found
2015-10-11 13:11:44.147000+00:00,magnetopause location not found
2015-10-12 08:47:24.096000+00:00,magnetopause location not found
2015-10-13 05:43:44.208000+00:00,magnetopause location not found
2015-10-13 11:13:44.181000+00:00,magnetopause location not found
2015-10-14 05:54:24.130000+00:00,magnetopause location not found
2015-10-18 15:23:24.208000+00:00,magnetopause location not found
2015-10-19 08:17:24.102000+00:00,magnetopause location not found
2015-10-21 16:03:54.128000+00:00,magnetopause location not found
2015-10-22 16:16:14.088000+00:00,magnetopause location not found
2015-10-23 16:10:44.219000+00:00,magnetopause location not found
2015-10-23 16:13:24.121000+00:00,magnetopause location not found
2015-10-28 06:41:04.012000+00:00,magnetopause location not found
2015-10-28 11:36:03.967000+00:00,magnetopause location not found
2015-10-28 13:10:04.049000+00:00,magnetopause location not found
2015-11-02 03:56:54.117000+00:00,magnetopause location not found
2015-11-07 14:24:54.181000+00:00,magnetopause location not found
2015-11-12 11:02:14.107000+00:00,magnetopause location not found
2015-11-12 11:47:04.097000+00:00,magnetopause location not found
2015-11-17 01:29:44.150000+00:00,magnetopause location not found
2015-11-22 01:17:34.070000+00:00,magnetopause location not found
2015-11-23 01:37:54.160000+00:00,magnetopause location not found
2015-11-24 01:32:34.176000+00:00,magnetopause location not found
2015-11-23 12:29:04.190000+00:00,magnetopause location not found
2015-11-26 01:28:54.180000+00:00,magnetopause location not found
2015-12-02 01:10:44.195000+00:00,magnetopause location not found
2015-12-02 00:25:04.106000+00:00,magnetopause location not found
2015-12-02 05:13:54.161000+00:00,magnetopause location not found
2015-12-03 00:04:23.940000+00:00,magnetopause location not found
2015-12-05 23:33:44.219000+00:00,magnetopause location not found
2015-12-08 09:42:34.016000+00:00,magnetopause location not found
2015-12-08 23:31:04.083000+00:00,magnetopause location not found
2015-12-11 23:19:54.035000+00:00,magnetopause location not found
2015-12-13 23:40:53.988000+00:00,magnetopause location not found
2015-12-16 23:19:43.931000+00:00,magnetopause location not found
2015-12-17 23:05:24.047000+00:00,magnetopause location not found
2015-12-20 23:35:24.077000+00:00,magnetopause location not found
2015-12-21 11:22:04.151000+00:00,magnetopause location not found
2015-12-28 22:03:04.052000+00:00,magnetopause location not found
2015-12-29 23:16:53.987000+00:00,magnetopause location not found
2015-12-30 22:10:23.944000+00:00,magnetopause location not found
2016-01-02 21:36:23.986000+00:00,magnetopause location not found
2016-01-04 22:25:03.987000+00:00,magnetopause location not found
2016-01-08 09:17:34.035000+00:00,magnetopause location not found
2016-01-08 20:49:13.993000+00:00,magnetopause location not found
2016-01-09 20:35:04.220000+00:00,magnetopause location not found
2016-01-09 20:56:04.088000+00:00,magnetopause location not found
2016-01-10 20:36:04.064000+00:00,magnetopause location not found
2016-01-13 21:16:44.011000+00:00,magnetopause location not found
2016-01-14 20:45:04.152000+00:00,magnetopause location not found
2016-01-14 20:58:44.213000+00:00,magnetopause location not found
2016-01-14 22:51:24.205000+00:00,magnetopause location not found
2016-01-15 03:54:14.107000+00:00,magnetopause location not found
2016-01-15 08:06:44.021000+00:00,magnetopause location not found
2016-01-15 21:02:54.025000+00:00,magnetopause location not found
2016-01-16 20:31:54.053000+00:00,magnetopause location not found
2016-01-17 07:22:04.205000+00:00,magnetopause location not found
2016-01-17 20:54:43.948000+00:00,magnetopause location not found
2016-01-18 06:48:54.200000+00:00,magnetopause location not found
2016-01-18 21:05:04.131000+00:00,magnetopause location not found
2016-01-18 20:19:03.943000+00:00,magnetopause location not found
2016-01-18 21:51:34.169000+00:00,magnetopause location not found
2016-01-23 22:03:14.221000+00:00,magnetopause location not found
2016-01-25 22:37:24.109000+00:00,magnetopause location not found
2016-01-25 04:29:23.988000+00:00,magnetopause location not found
2016-01-25 23:09:04.036000+00:00,magnetopause location not found
2016-01-26 19:58:14.112000+00:00,magnetopause location not found
2016-01-26 20:10:43.972000+00:00,magnetopause location not found
2016-01-27 21:36:04.045000+00:00,magnetopause location not found
2016-01-28 20:13:54.193000+00:00,magnetopause location not found
2016-01-28 20:18:44.147000+00:00,magnetopause location not found
2016-01-28 20:16:14.145000+00:00,magnetopause location not found
2016-01-28 21:40:04.165000+00:00,magnetopause location not found
