DateStart,Error
2015-12-30 23:37:22+00:00,attempt to get argmin of an empty sequence
2016-01-03 22:25:54+00:00,v cannot be empty
2016-01-04 08:41:49+00:00,v cannot be empty
2016-01-05 00:46:35+00:00,v cannot be empty
2016-01-05 00:48:14+00:00,v cannot be empty
2016-01-06 02:28:45+00:00,x and y arrays must have at least 2 entries
2016-01-06 02:30:06+00:00,x and y arrays must have at least 2 entries
2016-01-06 02:31:23+00:00,x and y arrays must have at least 2 entries
2016-01-09 21:18:39+00:00,local variable 'ind_range_msh' referenced before assignment
2016-01-09 21:34:06+00:00,local variable 'ind_range_msp' referenced before assignment
2016-01-09 21:38:09+00:00,local variable 'ind_range_msp' referenced before assignment
2016-01-13 21:51:10+00:00,attempt to get argmin of an empty sequence
2016-01-17 05:19:02+00:00,attempt to get argmin of an empty sequence
2016-01-17 05:53:00+00:00,v cannot be empty
2016-01-17 05:58:56+00:00,v cannot be empty
2016-01-17 06:33:39+00:00,attempt to get argmin of an empty sequence
2016-01-18 01:30:44+00:00,local variable 'ind_range_msp' referenced before assignment
2016-01-18 01:32:23+00:00,local variable 'ind_range_msp' referenced before assignment
2016-01-26 20:39:56+00:00,x and y arrays must have at least 2 entries
2016-01-27 22:57:35+00:00,local variable 'ind_range_msp' referenced before assignment
2016-01-28 05:36:54+00:00,local variable 'ind_range_msp' referenced before assignment
2016-01-28 06:07:03+00:00,v cannot be empty
2016-01-29 01:57:21+00:00,local variable 'ind_range_msh' referenced before assignment
2016-01-31 19:28:52+00:00,local variable 'ind_range_msp' referenced before assignment
2016-01-31 19:29:55+00:00,local variable 'ind_range_msp' referenced before assignment
2016-01-31 19:31:16+00:00,local variable 'ind_range_msp' referenced before assignment
2016-02-05 06:03:44+00:00,attempt to get argmin of an empty sequence
2016-02-05 19:25:24+00:00,v cannot be empty
2016-02-05 19:42:25+00:00,v cannot be empty
2016-02-05 19:46:33+00:00,attempt to get argmin of an empty sequence
2016-02-06 00:25:46+00:00,attempt to get argmin of an empty sequence
2016-02-06 00:26:54+00:00,attempt to get argmin of an empty sequence
