Date,Probe,walen1,walen2,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,r_W,theta_w,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
2015-09-03 14:08:34.092000+00:00,3,False,False,True,3.089,9.751,-5.453,11.172,9.469,53.868,2015-09-03 14:12:42.345855616+00:00,609,642,8789,8855,74.661,5.679,-4.128,18.642,5.745,-4.07,18.766,2.007,-14.825,0.398,2.007,-14.825,0.398,0.888,0.886,34.251,33.808,58.421,-68.431,-78.155,56.85,-67.527,-81.445,-23.679,-230.478,-104.979,-23.59,-232.568,-104.034,65909804.0,2240250.5,66358388.0,2232219.5,99993712.0,2885634.5,99569920.0,2871834.5,12.106,6.0,
2015-09-03 14:37:14.165000+00:00,3,True,True,True,2.865,9.992,-5.409,11.362,2.414,31.704,2015-09-03 14:53:16.862188032+00:00,5715,5748,1860,1926,57.957,4.283,-8.513,37.478,4.347,-9.26,37.394,0.959,-24.305,7.944,0.959,-24.305,7.944,1.153,1.147,28.275,28.534,-45.392,-77.199,-22.628,-42.392,-78.725,-26.438,-8.798,-241.534,-181.375,-6.896,-242.453,-177.101,36747408.0,2468705.0,36782872.0,2442955.0,51968956.0,2688697.0,51714944.0,2672233.75,3.747,1.111,
2015-09-02 16:41:24.189000+00:00,3,True,True,True,1.68,10.829,-4.802,11.846,3.591,32.61,2015-09-02 16:45:20.508386432+00:00,3724,3757,4659,4725,60.534,-2.95,17.08,40.35,-3.342,19.384,40.083,8.636,-15.069,24.433,8.636,-15.069,24.433,2.022,2.022,42.243,41.574,-16.152,-1.223,-95.367,-19.952,4.864,-96.227,23.641,-224.137,-101.797,20.865,-222.432,-100.602,30221688.0,1724588.75,30082304.0,1799804.875,37599088.0,2169470.5,37618596.0,2288973.0,3.203,1.185,
2015-09-02 16:48:44.145000+00:00,3,True,True,True,1.617,10.86,-4.756,11.856,3.591,32.61,2015-09-02 16:45:20.508386432+00:00,3724,3757,4659,4725,60.534,-2.95,17.08,40.35,-3.342,19.384,40.083,8.636,-15.069,24.433,8.636,-15.069,24.433,2.022,2.022,42.243,41.574,-16.152,-1.223,-95.367,-19.952,4.864,-96.227,23.641,-224.137,-101.797,20.865,-222.432,-100.602,30221688.0,1724588.75,30082304.0,1799804.875,37599088.0,2169470.5,37618596.0,2288973.0,3.203,1.185,
2015-09-02 17:57:54.099000+00:00,3,False,False,True,0.982,11.059,-4.26,11.851,3.07,117.644,2015-09-02 17:53:27.361802880+00:00,3290,3323,1127,1193,151.787,5.181,2.139,9.533,5.116,2.134,9.478,-0.527,-0.123,-14.462,-0.527,-0.123,-14.462,1.179,1.179,58.484,58.365,133.499,156.553,-146.937,134.042,156.587,-147.035,9.028,-234.812,-59.435,9.427,-234.915,-59.541,57580868.0,1450015.25,57290676.0,1447765.25,64583336.0,1636223.375,64538576.0,1630849.875,12.147,19.978,
2015-09-02 18:10:04.009000+00:00,3,False,False,True,0.87,11.072,-4.171,11.831,2.937,117.629,2015-09-02 17:53:27.361802880+00:00,3025,3058,862,928,151.787,5.181,2.139,9.533,5.116,2.134,9.478,-0.527,-0.123,-14.462,-0.527,-0.123,-14.462,1.179,1.179,58.484,58.365,133.499,156.553,-146.937,134.042,156.587,-147.035,9.028,-234.812,-59.435,9.427,-234.915,-59.541,57580868.0,1450015.25,57290676.0,1447765.25,64583336.0,1636223.375,64538576.0,1630849.875,12.147,19.978,
2015-09-03 14:03:24.188000+00:00,3,False,False,True,3.128,9.707,-5.456,11.135,9.281,41.162,2015-09-03 14:12:42.345855616+00:00,877,910,8758,8824,76.256,5.679,-4.128,18.642,5.745,-4.07,18.766,2.284,-32.547,0.522,2.284,-32.547,0.522,0.888,0.886,29.691,29.359,58.421,-68.431,-78.155,56.85,-67.527,-81.445,-29.939,-195.124,-127.055,-30.692,-194.917,-124.431,65909804.0,1985218.375,66358388.0,2012749.25,99993712.0,2482424.0,99569920.0,2527876.75,2.15,6.0,
2015-09-03 14:13:54.196000+00:00,3,False,True,True,3.047,9.799,-5.447,11.211,5.5,29.755,2015-09-03 14:12:42.345855616+00:00,3126,3159,7086,7152,48.983,5.926,-1.613,41.49,5.851,-1.611,41.475,7.097,-37.834,29.83,7.097,-37.834,29.83,0.733,0.731,18.357,18.153,41.245,-16.374,-13.188,44.049,-14.897,-16.297,-8.235,-220.773,-164.154,-6.191,-223.895,-165.891,42594000.0,2500454.0,42722608.0,2488291.5,62382292.0,3233572.0,62537572.0,3230132.25,0.723,0.712,
2015-09-03 14:50:44.176000+00:00,3,True,True,True,2.756,10.1,-5.375,11.442,2.317,32.589,2015-09-03 15:01:11.990401408+00:00,11027,11060,5037,5103,56.466,8.723,-0.802,49.387,8.518,0.331,49.86,4.302,-32.141,21.187,4.302,-32.141,21.187,0.851,0.838,28.029,27.877,42.831,-24.281,26.508,39.193,-23.731,32.387,-10.963,-225.812,-185.478,-7.007,-223.362,-185.856,40338148.0,2164006.25,42213648.0,2193157.75,52154892.0,2499976.0,53871192.0,2599854.0,1.505,0.533,
2015-09-03 14:28:54.208000+00:00,3,True,True,True,2.929,9.926,-5.425,11.312,4.169,26.075,2015-09-03 14:39:32.081631616+00:00,924,957,4884,4950,48.983,5.926,-1.613,41.49,5.851,-1.611,41.475,7.097,-37.834,29.83,7.097,-37.834,29.83,0.733,0.731,18.357,18.153,41.245,-16.374,-13.188,44.049,-14.897,-16.297,-8.235,-220.773,-164.154,-6.191,-223.895,-165.891,42594000.0,2500454.0,42722608.0,2488291.5,62382292.0,3233572.0,62537572.0,3230132.25,0.723,0.712,
