DateStart,Error
2015-09-01 12:11:14.077000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-01 21:24:44.190000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-02 13:39:04.097000+00:00,local variable 't_jet_center' referenced before assignment
2015-09-02 16:07:04.213000+00:00,local variable 't_jet_center' referenced before assignment
2015-09-02 13:45:34.102000+00:00,local variable 't_jet_center' referenced before assignment
2015-09-01 21:16:54.084000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-01 21:59:24.118000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-01 12:30:44.092000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-01 21:09:14.178000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-01 12:20:54.135000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-02 16:11:44.116000+00:00,local variable 't_jet_center' referenced before assignment
2015-09-01 21:51:34.162000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-02 16:52:14.148000+00:00,v cannot be empty
2015-09-02 15:29:44.083000+00:00,local variable 't_jet_center' referenced before assignment
2015-09-02 15:25:04.180000+00:00,local variable 't_jet_center' referenced before assignment
2015-09-02 15:36:14.088000+00:00,local variable 't_jet_center' referenced before assignment
2015-09-03 13:47:54.175000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 14:19:44.151000+00:00,attempt to get argmin of an empty sequence
2015-09-02 17:18:44.169000+00:00,local variable 't_jet_center' referenced before assignment
2015-09-02 17:50:04.143000+00:00,v cannot be empty
2015-09-02 17:50:44.194000+00:00,v cannot be empty
2015-09-03 14:03:24.188000+00:00,v cannot be empty
2015-09-03 14:28:54.208000+00:00,local variable 't_jet_center' referenced before assignment
2015-09-02 18:10:04.009000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 13:16:14.100000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-02 17:57:54.099000+00:00,v cannot be empty
2015-09-03 15:12:14.193000+00:00,local variable 't_jet_center' referenced before assignment
2015-09-03 17:57:24.076000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 18:18:34.143000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 17:49:54.220000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 16:37:34.212000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-03 15:40:54.116000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-03 18:10:14.186000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 15:32:14.209000+00:00,attempt to get argmin of an empty sequence
2015-09-03 23:11:03.927000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 18:07:24.084000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 17:38:44.161000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 17:05:24.184000+00:00,local variable 't_jet_center' referenced before assignment
2015-09-04 12:36:54.055000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 17:14:44.142000+00:00,local variable 't_jet_center' referenced before assignment
2015-09-04 13:07:04.128000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-04 11:36:24.158000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 23:25:13.988000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-04 11:42:54.163000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-04 13:15:24.085000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-04 12:16:34.089000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-04 13:25:44.193000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-05 15:47:04.202000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-04 15:07:34.222000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-05 14:10:54.224000+00:00,local variable 'ind_range_msh' referenced before assignment
